municipio,num,nome,partidocoligacao,votacao,validos,state,segundo_turno
ABAÍRA,14,DIGA,PTB/PTB / PMDB / DEM / PTN / PRB,2701,51.3%,Bahia,false
ABARÉ,13,FERNANDO TOLENTINO,PT/PT / PP / PHS / DEM / PTN / PR / PSL / PSD,5482,51.08%,Bahia,false
ACAJUTIBA,15,ALEX FREITAS,PMDB/PMDB / PSDB / PPL / SD / DEM,4482,52.27%,Bahia,false
ADUSTINA,17,PAULO SERGIO,PSL/PSL / PT / PTN / SD,4644,51.86%,Bahia,false
ÁGUA FRIA,25,MANOEL POTINHA,DEM/DEM / PDT / PMB / PV,4617,51.13%,Bahia,false
AIQUARA,11,TAM,PP/PP / PDT / PRP / PSD / PC do B / PROS,1213,36.49%,Bahia,false
ALAGOINHAS,25,JOAQUIM NETO,DEM/DEM / PROS / PV / PRP / PSDB,25684,34.25%,Bahia,false
ALCOBAÇA,55,LEO BRITO,PSD/PSD / PDT / PV / PSL / PRP / PTB / PR / PSDC / DEM / PSB / PC do B,8265,67.83%,Bahia,false
ALMADINA,19,MILTON CERQUEIRA,PTN/PTB / PSL / PTN / PSB / PV / PSD / PROS / PC do B / PT / PP,2204,56.27%,Bahia,false
AMARGOSA,13,JULIO PINHEIRO,PT/PRB / PT / PDT / PMDB / PTN / PSD / PROS,10500,55.53%,Bahia,false
AMÉLIA RODRIGUES,10,PAULO FALCÃO,PRB/PRB / PTC / PMDB / PR / PV / PROS / SD,5305,36.85%,Bahia,false
AMÉRICA DOURADA,55,ROSE,PSD/PSD / PMDB / PPS / PHS / PSDB,5140,50.97%,Bahia,false
ANAGÉ,12,DRA. ELEN ZITE,PDT/PDT / SD / PMDB / PRB / PP / PSB,5677,94.27%,Bahia,false
ANDARAÍ,55,JOÃO LUCIO,PSD/PP / PT / PR / PSD / PSB / PC do B / PEN,4059,56.07%,Bahia,false
ANDORINHA,11,RENATINHO,PP/PP / PMDB / PSC / PR / PSD,4683,74.76%,Bahia,false
ANGICAL,25,GILSAO,DEM/PSC / PRB / PPS / DEM / PSDB,3844,39.05%,Bahia,false
ANGUERA,13,FERNANDO,PT/PSD / PMDB / PSB / PV / PR / PT,4528,59.27%,Bahia,false
ANTAS,17,SIDONIO NILO,PSL/PSL / PTC / PR / PSD / PMB,5165,57.55%,Bahia,false
ANTÔNIO CARDOSO,13,TOINHO SANTIAGO,PT/PT / PP / PTN / PPS / PSD / PC do B,5583,64.17%,Bahia,false
ANTÔNIO GONÇALVES,15,ROBERTO,PMDB/PDT / PT / PTB / PMDB / PSL / PTN / PR / PSB / PRP / SD,3584,53.25%,Bahia,false
APORÁ,25,IVONEI,DEM/DEM / PEN / PDT / PSD / PSDB / PV / PTN,5303,56.2%,Bahia,false
APUAREMA,11,RAIVAL,PP/PP / PMDB / PC do B / PR / PSD / PSL,2375,54.01%,Bahia,false
ARAÇÁS,13,GRACINHA,PT/PT / PEN / PP / PSC / PSD / PTN,3384,43.93%,Bahia,false
ARACATU,55,SÉRGIO,PSD/PSC / DEM / PSB / PSDB / PEN / PSD,5295,50.49%,Bahia,false
ARACI,12,SILVA NETO,PDT/PDT / PSC / PSB / PV / PRB / PR / PSDC / PHS / PSL / PMDB / PT,14143,83%,Bahia,false
ARAMARI,15,FIDEL,PMDB/PMDB / DEM / PPS / PRP / PT do B / PC do B / PTB / PTC / PSC,3810,52.34%,Bahia,false
ARATACA,11,KATIANA DE AGENOR,PP/PP / PT / PTC / PV / PSDB / PC do B / PT do B,2403,50.72%,Bahia,false
ARATUÍPE,15,SINHO,PMDB/PMDB / PSDB / PDT / SD,3636,55.72%,Bahia,false
AURELINO LEAL,11,LIU ANDRADE,PP/PRB / PDT / PT / PEN / PSD / PP / PHS / PSDB / PTC,5004,67.51%,Bahia,false
BAIANÓPOLIS,55,JANDIRA XAVIER,PSD/PSD / PPS / PRB / PRTB / PMDB,5651,58.27%,Bahia,false
BAIXA GRANDE,15,HERALDO,PMDB/PMDB / DEM / PSDB / PRB / PSC / PV / PR,6106,51.81%,Bahia,false
