state,municipio,nome,num,partidocoligacao,segundo_turno,validos,votacao
Acre,ACRELÂNDIA,1,1,1,1,1,1
Acre,ASSIS BRASIL,1,1,1,1,1,1
Acre,BRASILÉIA,1,1,1,1,1,1
Acre,BUJARI,1,1,1,1,1,1
Acre,CAPIXABA,1,1,1,1,1,1
Acre,CRUZEIRO DO SUL,1,1,1,1,1,1
Acre,EPITACIOLÂNDIA,1,1,1,1,1,1
Acre,FEIJÓ,1,1,1,1,1,1
Acre,JORDÃO,1,1,1,1,1,1
Acre,MANOEL URBANO,1,1,1,1,1,1
Acre,MARECHAL THAUMATURGO,1,1,1,1,1,1
Acre,MÂNCIO LIMA,1,1,1,1,1,1
Acre,PLÁCIDO DE CASTRO,1,1,1,1,1,1
Acre,PORTO ACRE,1,1,1,1,1,1
Acre,PORTO WALTER,1,1,1,1,1,1
Acre,RIO BRANCO,1,1,1,1,1,1
Acre,RODRIGUES ALVES,1,1,1,1,1,1
Acre,SANTA ROSA DO PURUS,1,1,1,1,1,1
Acre,SENA MADUREIRA,1,1,1,1,1,1
Acre,SENADOR GUIOMARD,1,1,1,1,1,1
Acre,TARAUACÁ,1,1,1,1,1,1
Acre,XAPURI,1,1,1,1,1,1
Alagoas,ANADIA,1,1,1,1,1,1
Alagoas,ARAPIRACA,1,1,1,1,1,1
Alagoas,ATALAIA,1,1,1,1,1,1
Alagoas,BARRA DE SANTO ANTÔNIO,1,1,1,1,1,1
Alagoas,BARRA DE SÃO MIGUEL,1,1,1,1,1,1
Alagoas,BATALHA,1,1,1,1,1,1
Alagoas,BELO MONTE,1,1,1,1,1,1
Alagoas,BELÉM,1,1,1,1,1,1
Alagoas,BOCA DA MATA,1,1,1,1,1,1
Alagoas,BRANQUINHA,1,1,1,1,1,1
Alagoas,CACIMBINHAS,1,1,1,1,1,1
Alagoas,CAJUEIRO,1,1,1,1,1,1
Alagoas,CAMPESTRE,1,1,1,1,1,1
Alagoas,CAMPO ALEGRE,1,1,1,1,1,1
Alagoas,CAMPO GRANDE,1,1,1,1,1,1
Alagoas,CANAPI,1,1,1,1,1,1
Alagoas,CAPELA,1,1,1,1,1,1
Alagoas,CARNEIROS,1,1,1,1,1,1
Alagoas,CHÃ PRETA,1,1,1,1,1,1
Alagoas,COITÉ DO NÓIA,1,1,1,1,1,1
Alagoas,COLÔNIA LEOPOLDINA,1,1,1,1,1,1
Alagoas,COQUEIRO SECO,1,1,1,1,1,1
Alagoas,CORURIPE,1,1,1,1,1,1
Alagoas,CRAÍBAS,1,1,1,1,1,1
Alagoas,DELMIRO GOUVEIA,1,1,1,1,1,1
Alagoas,DOIS RIACHOS,1,1,1,1,1,1
Alagoas,ESTRELA DE ALAGOAS,1,1,1,1,1,1
Alagoas,FEIRA GRANDE,1,1,1,1,1,1
Alagoas,FELIZ DESERTO,1,1,1,1,1,1
Alagoas,FLEXEIRAS,1,1,1,1,1,1
Alagoas,GIRAU DO PONCIANO,1,1,1,1,1,1
Alagoas,IBATEGUARA,1,1,1,1,1,1
Alagoas,IGACI,1,1,1,1,1,1
Alagoas,IGREJA NOVA,1,1,1,1,1,1
Alagoas,INHAPI,1,1,1,1,1,1
Alagoas,JACARÉ DOS HOMENS,1,1,1,1,1,1
Alagoas,JACUÍPE,1,1,1,1,1,1
Alagoas,JAPARATINGA,1,1,1,1,1,1
Alagoas,JARAMATAIA,1,1,1,1,1,1
Alagoas,JEQUIÁ DA PRAIA,1,1,1,1,1,1
Alagoas,JOAQUIM GOMES,1,1,1,1,1,1
Alagoas,JUNDIÁ,1,1,1,1,1,1
Alagoas,JUNQUEIRO,1,1,1,1,1,1
Alagoas,LAGOA DA CANOA,1,1,1,1,1,1
Alagoas,LIMOEIRO DE ANADIA,1,1,1,1,1,1
Alagoas,MACEIÓ,2,2,2,2,2,2
Alagoas,MAJOR ISIDORO,1,1,1,1,1,1
Alagoas,MAR VERMELHO,1,1,1,1,1,1
Alagoas,MARAGOGI,1,1,1,1,1,1
Alagoas,MARAVILHA,1,1,1,1,1,1
Alagoas,MARECHAL DEODORO,1,1,1,1,1,1
Alagoas,MARIBONDO,1,1,1,1,1,1
Alagoas,MATA GRANDE,1,1,1,1,1,1
Alagoas,MATRIZ DE CAMARAGIBE,1,1,1,1,1,1
Alagoas,MESSIAS,1,1,1,1,1,1
Alagoas,MINADOR DO NEGRÃO,1,1,1,1,1,1
Alagoas,MONTEIRÓPOLIS,1,1,1,1,1,1
Alagoas,MURICI,1,1,1,1,1,1
Alagoas,NOVO LINO,1,1,1,1,1,1
Alagoas,OLHO D'ÁGUA DAS FLORES,1,1,1,1,1,1
Alagoas,OLHO D'ÁGUA DO CASADO,1,1,1,1,1,1
Alagoas,OLHO D'ÁGUA GRANDE,1,1,1,1,1,1
Alagoas,OLIVENÇA,1,1,1,1,1,1
Alagoas,OURO BRANCO,1,1,1,1,1,1
Alagoas,PALESTINA,1,1,1,1,1,1
Alagoas,PALMEIRA DOS ÍNDIOS,1,1,1,1,1,1
Alagoas,PARICONHA,1,1,1,1,1,1
Alagoas,PARIPUEIRA,1,1,1,1,1,1
Alagoas,PASSO DE CAMARAGIBE,1,1,1,1,1,1
Alagoas,PAULO JACINTO,1,1,1,1,1,1
Alagoas,PENEDO,1,1,1,1,1,1
Alagoas,PIAÇABUÇU,1,1,1,1,1,1
Alagoas,PILAR,1,1,1,1,1,1
Alagoas,PINDOBA,1,1,1,1,1,1
Alagoas,PIRANHAS,1,1,1,1,1,1
Alagoas,PORTO CALVO,1,1,1,1,1,1
Alagoas,PORTO DE PEDRAS,1,1,1,1,1,1
Alagoas,PORTO REAL DO COLÉGIO,1,1,1,1,1,1
Alagoas,POÇO DAS TRINCHEIRAS,1,1,1,1,1,1
Alagoas,PÃO DE AÇÚCAR,1,1,1,1,1,1
Alagoas,QUEBRANGULO,1,1,1,1,1,1
Alagoas,RIO LARGO,1,1,1,1,1,1
Alagoas,ROTEIRO,1,1,1,1,1,1
Alagoas,SANTA LUZIA DO NORTE,1,1,1,1,1,1
Alagoas,SANTANA DO IPANEMA,1,1,1,1,1,1
Alagoas,SANTANA DO MUNDAÚ,1,1,1,1,1,1
Alagoas,SATUBA,1,1,1,1,1,1
Alagoas,SENADOR RUI PALMEIRA,1,1,1,1,1,1
Alagoas,SÃO BRÁS,1,1,1,1,1,1
Alagoas,SÃO JOSÉ DA LAJE,1,1,1,1,1,1
Alagoas,SÃO JOSÉ DA TAPERA,1,1,1,1,1,1
Alagoas,SÃO LUÍS DO QUITUNDE,1,1,1,1,1,1
Alagoas,SÃO MIGUEL DOS CAMPOS,1,1,1,1,1,1
Alagoas,SÃO MIGUEL DOS MILAGRES,1,1,1,1,1,1
Alagoas,SÃO SEBASTIÃO,1,1,1,1,1,1
Alagoas,TANQUE D'ARCA,1,1,1,1,1,1
Alagoas,TAQUARANA,1,1,1,1,1,1
Alagoas,TEOTÔNIO VILELA,1,1,1,1,1,1
Alagoas,TRAIPU,1,1,1,1,1,1
Alagoas,UNIÃO DOS PALMARES,1,1,1,1,1,1
Alagoas,VIÇOSA,1,1,1,1,1,1
Alagoas,ÁGUA BRANCA,1,1,1,1,1,1
Amapá,AMAPÁ,1,1,1,1,1,1
Amapá,CALÇOENE,1,1,1,1,1,1
Amapá,CUTIAS,1,1,1,1,1,1
Amapá,FERREIRA GOMES,1,1,1,1,1,1
Amapá,ITAUBAL,1,1,1,1,1,1
Amapá,LARANJAL DO JARI,1,1,1,1,1,1
Amapá,MACAPÁ,2,2,2,2,2,2
Amapá,MAZAGÃO,1,1,1,1,1,1
Amapá,OIAPOQUE,1,1,1,1,1,1
Amapá,PEDRA BRANCA DO AMAPARI,1,1,1,1,1,1
Amapá,PORTO GRANDE,1,1,1,1,1,1
Amapá,PRACUÚBA,1,1,1,1,1,1
Amapá,SANTANA,1,1,1,1,1,1
Amapá,SERRA DO NAVIO,1,1,1,1,1,1
Amapá,TARTARUGALZINHO,1,1,1,1,1,1
Amapá,VITÓRIA DO JARI,1,1,1,1,1,1
Amazonas,ALVARÃES,1,1,1,1,1,1
Amazonas,ANAMÃ,1,1,1,1,1,1
Amazonas,ANORI,1,1,1,1,1,1
Amazonas,APUÍ,1,1,1,1,1,1
Amazonas,ATALAIA DO NORTE,1,1,1,1,1,1
Amazonas,AUTAZES,1,1,1,1,1,1
Amazonas,BARCELOS,1,1,1,1,1,1
Amazonas,BARREIRINHA,1,1,1,1,1,1
Amazonas,BENJAMIN CONSTANT,1,1,1,1,1,1
Amazonas,BERURI,1,1,1,1,1,1
Amazonas,BOA VISTA DO RAMOS,1,1,1,1,1,1
Amazonas,BOCA DO ACRE,1,1,1,1,1,1
Amazonas,CAAPIRANGA,1,1,1,1,1,1
Amazonas,CANUTAMA,1,1,1,1,1,1
Amazonas,CARAUARI,1,1,1,1,1,1
Amazonas,CAREIRO,1,1,1,1,1,1
Amazonas,CAREIRO DA VÁRZEA,1,1,1,1,1,1
Amazonas,CODAJÁS,1,1,1,1,1,1
Amazonas,EIRUNEPÉ,1,1,1,1,1,1
Amazonas,ENVIRA,1,1,1,1,1,1
Amazonas,FONTE BOA,1,1,1,1,1,1
Amazonas,GUAJARÁ,1,1,1,1,1,1
Amazonas,HUMAITÁ,1,1,1,1,1,1
Amazonas,IPIXUNA,1,1,1,1,1,1
Amazonas,IRANDUBA,1,1,1,1,1,1
Amazonas,ITACOATIARA,1,1,1,1,1,1
Amazonas,ITAPIRANGA,1,1,1,1,1,1
Amazonas,JAPURÁ,1,1,1,1,1,1
Amazonas,JURUÁ,1,1,1,1,1,1
Amazonas,JUTAÍ,1,1,1,1,1,1
Amazonas,MANACAPURU,1,1,1,1,1,1
Amazonas,MANAQUIRI,1,1,1,1,1,1
Amazonas,MANAUS,2,2,2,2,2,2
Amazonas,MANICORÉ,1,1,1,1,1,1
Amazonas,MARAÃ,1,1,1,1,1,1
Amazonas,MAUÉS,1,1,1,1,1,1
Amazonas,NHAMUNDÁ,1,1,1,1,1,1
Amazonas,NOVA OLINDA DO NORTE,1,1,1,1,1,1
Amazonas,NOVO AIRÃO,1,1,1,1,1,1
Amazonas,NOVO ARIPUANÃ,1,1,1,1,1,1
Amazonas,PARINTINS,1,1,1,1,1,1
Amazonas,PAUINI,1,1,1,1,1,1
Amazonas,PRESIDENTE FIGUEIREDO,1,1,1,1,1,1
Amazonas,RIO PRETO DA EVA,1,1,1,1,1,1
Amazonas,SANTA ISABEL DO RIO NEGRO,1,1,1,1,1,1
Amazonas,SANTO ANTÔNIO DO IÇÁ,1,1,1,1,1,1
Amazonas,SILVES,1,1,1,1,1,1
Amazonas,SÃO GABRIEL DA CACHOEIRA,1,1,1,1,1,1
Amazonas,SÃO SEBASTIÃO DO UATUMÃ,1,1,1,1,1,1
Amazonas,TABATINGA,1,1,1,1,1,1
Amazonas,TAPAUÁ,1,1,1,1,1,1
Amazonas,TEFÉ,1,1,1,1,1,1
Amazonas,TONANTINS,1,1,1,1,1,1
Amazonas,UARINI,1,1,1,1,1,1
Amazonas,URUCARÁ,1,1,1,1,1,1
Amazonas,URUCURITUBA,1,1,1,1,1,1
Bahia,ABARÉ,1,1,1,1,1,1
Bahia,ABAÍRA,1,1,1,1,1,1
Bahia,ACAJUTIBA,1,1,1,1,1,1
Bahia,ADUSTINA,1,1,1,1,1,1
Bahia,AIQUARA,1,1,1,1,1,1
Bahia,ALAGOINHAS,1,1,1,1,1,1
Bahia,ALCOBAÇA,1,1,1,1,1,1
Bahia,ALMADINA,1,1,1,1,1,1
Bahia,AMARGOSA,1,1,1,1,1,1
Bahia,AMÉLIA RODRIGUES,1,1,1,1,1,1
Bahia,AMÉRICA DOURADA,1,1,1,1,1,1
Bahia,ANAGÉ,1,1,1,1,1,1
Bahia,ANDARAÍ,1,1,1,1,1,1
Bahia,ANDORINHA,1,1,1,1,1,1
Bahia,ANGICAL,1,1,1,1,1,1
Bahia,ANGUERA,1,1,1,1,1,1
Bahia,ANTAS,1,1,1,1,1,1
Bahia,ANTÔNIO CARDOSO,1,1,1,1,1,1
Bahia,ANTÔNIO GONÇALVES,1,1,1,1,1,1
Bahia,APORÁ,1,1,1,1,1,1
Bahia,APUAREMA,1,1,1,1,1,1
Bahia,ARACATU,1,1,1,1,1,1
Bahia,ARACI,1,1,1,1,1,1
Bahia,ARAMARI,1,1,1,1,1,1
Bahia,ARATACA,1,1,1,1,1,1
Bahia,ARATUÍPE,1,1,1,1,1,1
Bahia,ARAÇÁS,1,1,1,1,1,1
Bahia,AURELINO LEAL,1,1,1,1,1,1
Bahia,BAIANÓPOLIS,1,1,1,1,1,1
Bahia,BAIXA GRANDE,1,1,1,1,1,1
Bahia,BANZAÊ,1,1,1,1,1,1
Bahia,BARRA,1,1,1,1,1,1
Bahia,BARRA DA ESTIVA,1,1,1,1,1,1
Bahia,BARRA DO CHOÇA,1,1,1,1,1,1
Bahia,BARRA DO MENDES,1,1,1,1,1,1
Bahia,BARRA DO ROCHA,1,1,1,1,1,1
Bahia,BARREIRAS,1,1,1,1,1,1
Bahia,BARRO ALTO,1,1,1,1,1,1
Bahia,BARRO PRETO,1,1,1,1,1,1
Bahia,BARROCAS,1,1,1,1,1,1
Bahia,BELMONTE,1,1,1,1,1,1
Bahia,BELO CAMPO,1,1,1,1,1,1
Bahia,BIRITINGA,1,1,1,1,1,1
Bahia,BOA NOVA,1,1,1,1,1,1
Bahia,BOA VISTA DO TUPIM,1,1,1,1,1,1
Bahia,BOM JESUS DA LAPA,1,1,1,1,1,1
Bahia,BOM JESUS DA SERRA,1,1,1,1,1,1
Bahia,BONINAL,1,1,1,1,1,1
Bahia,BONITO,1,1,1,1,1,1
Bahia,BOQUIRA,1,1,1,1,1,1
Bahia,BOTUPORÃ,1,1,1,1,1,1
Bahia,BREJOLÂNDIA,1,1,1,1,1,1
Bahia,BREJÕES,1,1,1,1,1,1
Bahia,BROTAS DE MACAÚBAS,1,1,1,1,1,1
Bahia,BRUMADO,1,1,1,1,1,1
Bahia,BUERAREMA,1,1,1,1,1,1
Bahia,BURITIRAMA,1,1,1,1,1,1
Bahia,CAATIBA,1,1,1,1,1,1
Bahia,CABACEIRAS DO PARAGUAÇU,1,1,1,1,1,1
Bahia,CACHOEIRA,1,1,1,1,1,1
Bahia,CACULÉ,1,1,1,1,1,1
Bahia,CAEM,1,1,1,1,1,1
Bahia,CAETANOS,1,1,1,1,1,1
Bahia,CAETITÉ,1,1,1,1,1,1
Bahia,CAFARNAUM,1,1,1,1,1,1
Bahia,CAIRU,1,1,1,1,1,1
Bahia,CALDEIRÃO GRANDE,1,1,1,1,1,1
Bahia,CAMACÃ,1,1,1,1,1,1
Bahia,CAMAMU,1,1,1,1,1,1
Bahia,CAMAÇARI,1,1,1,1,1,1
Bahia,CAMPO ALEGRE DE LOURDES,1,1,1,1,1,1
Bahia,CAMPO FORMOSO,1,1,1,1,1,1
Bahia,CANARANA,1,1,1,1,1,1
Bahia,CANAVIEIRAS,1,1,1,1,1,1
Bahia,CANDEAL,1,1,1,1,1,1
Bahia,CANDIBA,1,1,1,1,1,1
Bahia,CANSANÇÃO,1,1,1,1,1,1
Bahia,CANUDOS,1,1,1,1,1,1
Bahia,CANÁPOLIS,1,1,1,1,1,1
Bahia,CAPELA DO ALTO ALEGRE,1,1,1,1,1,1
Bahia,CAPIM GROSSO,1,1,1,1,1,1
Bahia,CARAVELAS,1,1,1,1,1,1
Bahia,CARAÍBAS,1,1,1,1,1,1
Bahia,CARDEAL DA SILVA,1,1,1,1,1,1
Bahia,CARINHANHA,1,1,1,1,1,1
Bahia,CASA NOVA,1,1,1,1,1,1
Bahia,CASTRO ALVES,1,1,1,1,1,1
Bahia,CATOLÂNDIA,1,1,1,1,1,1
Bahia,CATU,1,1,1,1,1,1
Bahia,CATURAMA,1,1,1,1,1,1
Bahia,CENTRAL,1,1,1,1,1,1
Bahia,CHORROCHÓ,1,1,1,1,1,1
Bahia,CIPÓ,1,1,1,1,1,1
Bahia,COARACI,1,1,1,1,1,1
Bahia,COCOS,1,1,1,1,1,1
Bahia,CONCEIÇÃO DA FEIRA,1,1,1,1,1,1
Bahia,CONCEIÇÃO DO ALMEIDA,1,1,1,1,1,1
Bahia,CONCEIÇÃO DO COITÉ,1,1,1,1,1,1
Bahia,CONCEIÇÃO DO JACUÍPE,1,1,1,1,1,1
Bahia,CONDE,1,1,1,1,1,1
Bahia,CONDEÚBA,1,1,1,1,1,1
Bahia,CONTENDAS DO SINCORÁ,1,1,1,1,1,1
Bahia,CORAÇÃO DE MARIA,1,1,1,1,1,1
Bahia,CORDEIROS,1,1,1,1,1,1
Bahia,CORIBE,1,1,1,1,1,1
Bahia,CORONEL JOÃO SÁ,1,1,1,1,1,1
Bahia,CORRENTINA,1,1,1,1,1,1
Bahia,COTEGIPE,1,1,1,1,1,1
Bahia,CRAVOLÂNDIA,1,1,1,1,1,1
Bahia,CRISTÓPOLIS,1,1,1,1,1,1
Bahia,CRISÓPOLIS,1,1,1,1,1,1
Bahia,CRUZ DAS ALMAS,1,1,1,1,1,1
Bahia,CURAÇÁ,1,1,1,1,1,1
Bahia,CÂNDIDO SALES,1,1,1,1,1,1
Bahia,CÍCERO DANTAS,1,1,1,1,1,1
Bahia,DIAS D'ÁVILA,1,1,1,1,1,1
Bahia,DOM BASÍLIO,1,1,1,1,1,1
Bahia,DOM MACEDO COSTA,1,1,1,1,1,1
Bahia,DÁRIO MEIRA,1,1,1,1,1,1
Bahia,ELÍSIO MEDRADO,1,1,1,1,1,1
Bahia,ENCRUZILHADA,1,1,1,1,1,1
Bahia,ENTRE RIOS,1,1,1,1,1,1
Bahia,ESPLANADA,1,1,1,1,1,1
Bahia,EUCLIDES DA CUNHA,1,1,1,1,1,1
Bahia,EUNÁPOLIS,1,1,1,1,1,1
Bahia,FEIRA DA MATA,1,1,1,1,1,1
Bahia,FEIRA DE SANTANA,1,1,1,1,1,1
Bahia,FILADÉLFIA,1,1,1,1,1,1
Bahia,FIRMINO ALVES,1,1,1,1,1,1
Bahia,FLORESTA AZUL,1,1,1,1,1,1
Bahia,FORMOSA DO RIO PRETO,1,1,1,1,1,1
Bahia,FÁTIMA,1,1,1,1,1,1
Bahia,GANDU,1,1,1,1,1,1
Bahia,GAVIÃO,1,1,1,1,1,1
Bahia,GENTIO DO OURO,1,1,1,1,1,1
Bahia,GLÓRIA,1,1,1,1,1,1
Bahia,GONGOGI,1,1,1,1,1,1
Bahia,GOVERNADOR MANGABEIRA,1,1,1,1,1,1
Bahia,GUAJERU,1,1,1,1,1,1
Bahia,GUANAMBI,1,1,1,1,1,1
Bahia,GUARATINGA,1,1,1,1,1,1
Bahia,HELIÓPOLIS,1,1,1,1,1,1
Bahia,IAÇU,1,1,1,1,1,1
Bahia,IBIASSUCÊ,1,1,1,1,1,1
Bahia,IBICARAÍ,1,1,1,1,1,1
Bahia,IBICOARA,1,1,1,1,1,1
Bahia,IBICUÍ,1,1,1,1,1,1
Bahia,IBIPEBA,1,1,1,1,1,1
Bahia,IBIPITANGA,1,1,1,1,1,1
Bahia,IBIQUERA,1,1,1,1,1,1
Bahia,IBIRAPITANGA,1,1,1,1,1,1
Bahia,IBIRAPUÃ,1,1,1,1,1,1
Bahia,IBIRATAIA,1,1,1,1,1,1
Bahia,IBITIARA,1,1,1,1,1,1
Bahia,IBITITÁ,1,1,1,1,1,1
Bahia,IBOTIRAMA,1,1,1,1,1,1
Bahia,ICHU,1,1,1,1,1,1
Bahia,IGAPORÃ,1,1,1,1,1,1
Bahia,IGRAPIÚNA,1,1,1,1,1,1
Bahia,IGUAÍ,1,1,1,1,1,1
Bahia,ILHÉUS,1,1,1,1,1,1
Bahia,INHAMBUPE,1,1,1,1,1,1
Bahia,IPECAETÁ,1,1,1,1,1,1
Bahia,IPIAÚ,1,1,1,1,1,1
Bahia,IPIRÁ,1,1,1,1,1,1
Bahia,IPUPIARA,1,1,1,1,1,1
Bahia,IRAJUBA,1,1,1,1,1,1
Bahia,IRAMAIA,1,1,1,1,1,1
Bahia,IRAQUARA,1,1,1,1,1,1
Bahia,IRARÁ,1,1,1,1,1,1
Bahia,IRECÊ,1,1,1,1,1,1
Bahia,ITABELA,1,1,1,1,1,1
Bahia,ITABERABA,1,1,1,1,1,1
Bahia,ITABUNA,1,1,1,1,1,1
Bahia,ITACARÉ,1,1,1,1,1,1
Bahia,ITAETÉ,1,1,1,1,1,1
Bahia,ITAGI,1,1,1,1,1,1
Bahia,ITAGIBÁ,1,1,1,1,1,1
Bahia,ITAGIMIRIM,1,1,1,1,1,1
Bahia,ITAGUAÇU DA BAHIA,1,1,1,1,1,1
Bahia,ITAJU DO COLÔNIA,1,1,1,1,1,1
Bahia,ITAJUÍPE,1,1,1,1,1,1
