Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
ACRELÂNDIA;40;CAETANO;PSB/PSB / PSL / PMDB / PRP;3.852;53,73 %
ASSIS BRASIL;45;ZUM;PSDB/PDT / PMDB / PSDB / PSC / PPS / PSD / PEN / PR;2.324;52,59 %
BRASILÉIA;13;FERNANDA HASSEM;PT/PT / PC do B / PSDC / PDT / PSB / PROS;6.819;53,14 %
BUJARI;65;ROMUALDO;PC do B/PC do B / PRB / PR / PHS / PEN / PTC;1.853;29,87 %
CAPIXABA;11;ZÉ AUGUSTO;PP/PMDB / PTB / PP;2.198;35,71 %
CRUZEIRO DO SUL;15;ILDERLEI CORDEIRO;PMDB/PMDB / PP / PRB / PDT / PSC / PR / DEM / PSDC / PMN / PTC / PRP / PEN / SD / PTB / PPS / PSD;18.119;46,61 %
EPITACIOLÂNDIA;40;TIÃO FLORES;PSB/PSB / PTC / PP / PMDB / PDT / PSDC / PT do B / PPS / PRP;4.068;47,07 %
FEIJÓ;11;KIEFER;PP/PP / PSDB / PSB / PDT / DEM / PSC;6.558;46,96 %
JORDÃO;65;ELSON FARIAS;PC do B/PT / PDT / PC do B / PSB;2.012;55,18 %
MÂNCIO LIMA;13;ISAAC LIMA;PT/PSB / PTN / PSDC / PROS / PDT / PV / PT / PRB / PC do B;5.390;56,35 %
MANOEL URBANO;15;TANIZO SÁ;PMDB/PMDB / PP / PSDB;2.167;43,76 %
MARECHAL THAUMATURGO;15;ISAAC PIYÃKO;PMDB/PMDB / PSC / PR / PSDB / PP / PPS / PSD / PV;4.094;56,52 %
PLÁCIDO DE CASTRO;45;GEDEON;PSDB/PSDB / PSD / PPS / DEM / PSL / PMDB / PTN / SD;4.864;47,78 %
PORTO ACRE;90;BENÉ DAMASCENO;PROS/PROS / PV / PC do B / PSB / PDT;4.442;45,36 %
PORTO WALTER;15;ZEZINHO BARBARY;PMDB/PMDB / PP / PDT / PR / PSDC / PSD / PSDB;3.091;67,30 %
RIO BRANCO;13;MARCUS ALEXANDRE;PT/PC do B / PPL / PSB / PRB / PSL / PRP / PHS / PDT / PROS / PTN / PSDC / PMB / PSOL / PV / PT;104.311;54,87 %
RODRIGUES ALVES;15;SEBASTIÃO CORREIA;PMDB/PMDB / PP / PSD / PR / PRP / PDT / PSC;5.007;58,78 %
SANTA ROSA DO PURUS;44;ASSIS MOURA;PRP/PTN / PC do B / PPS / PRB / PRP;1.101;45,51 %
SENADOR GUIOMARD;55;ANDRE MAIA;PSD/PSD / PPS / PV / PHS;4.533;32,37 %
SENA MADUREIRA;15;MAZINHO SERAFIM;PMDB/PP / PDT / PMDB / PTB;7.889;38,65 %
TARAUACÁ;55;MARILETE VITORINO;PSD/PSDB / PDT / REDE / PP / PSD / PHS / PRP / PPS;8.589;47,98 %
XAPURI;13;BIRA;PT/PT / PC do B / PSB;3.854;41,39 %
