Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
ÁGUA BRANCA;45;ZÉ CARLOS;PSDB/PSD / PSB / PSC / PR / PDT / PV / PSDB;6.151;54,55 %
ANADIA;12;CELINO ROCHA;PDT/PDT / PHS / PRB / PRP / PPS / PSL / PSC;4.786;51,07 %
ARAPIRACA;45;ROGERIO TEOFILO;PSDB/PRB / PSC / DEM / PMB / PSB / PSDB / PSD;40.389;38,04 %
ATALAIA;15;CHICO VIGÁRIO;PMDB/PMDB / PTB / PSC / PR / PSD / PTN / DEM / PSB / PV;11.999;51,84 %
BARRA DE SANTO ANTÔNIO;45;EMANUELLA MOURA;PSDB/PSDB / PRB / PSC / PR / PPS / DEM / PSDC / PRTB / PV / PRP / SD;5.652;60,59 %
BARRA DE SÃO MIGUEL;15;ZEZECO;PMDB/PSB / PMDB / PSC / PROS / DEM / PSL / PR / PTB / PPL / PSDC / PDT / PV / PSDB;2.774;51,02 %
BATALHA;15;MARINA DANTAS;PMDB/PMDB / PDT / PTB / PRB / PR / PMN / PC do B / PRTB / SD;5.539;55,86 %
BELÉM;45;PAULA SANTA ROSA;PSDB/DEM / PRP / PHS / PDT / PSDB;2.222;57,14 %
BELO MONTE;44;VAL;PRP/PSD / PRP;2.393;54,04 %
BOCA DA MATA;15;FEIJÓ;PMDB/PRB / PMDB / PDT / PSB / PPS / PT do B / PSDB / PSL / PSDC / PRTB / PSD / PPL / PHS;8.034;55,02 %
BRANQUINHA;45;JAIRINHO MAIA;PSDB/PSDB / PDT / PTN / PHS / PSDC;3.316;54,87 %
CACIMBINHAS;15;HUGO WANDERLEY;PMDB/PMDB / PDT / PSDB / PSD;4.824;78,91 %
CAJUEIRO;15;PALMERY;PMDB/PMDB / PT / PMN / PTC / PSDC / PSC;5.745;51,59 %
CAMPESTRE;15;PINO;PMDB/PMDB / PRP / PSC / PV;2.187;50,21 %
CAMPO ALEGRE;45;PAULINE PEREIRA;PSDB/PSDB / PMDB / PSDC / PDT / PSB / PRB / PHS / PPL / PSL / DEM / PP / PT / PROS / PSD / PTN / PTC / PT do B / PR;14.581;82,63 %
CAMPO GRANDE;10;ARNALDO HIGINO;PRB/PRB / DEM;3.433;50,70 %
CANAPI;25;VINICIUS FILHO DE ZE HERMES;DEM/DEM / PHS / PPS;5.969;60,89 %
CAPELA;15;ADELMINHO;PMDB/PT / PMDB / PTC / PSC / PPS / PSDC;5.383;52,97 %
CARNEIROS;15;GERALDO FILHO;PMDB/PMDB / PSC / PSB / PSL / PMN;3.605;72,65 %
CHÃ PRETA;33;RITA TENÓRIO;PMN/PMN / PSDB / PSB / PSD;2.507;52,41 %
COITÉ DO NÓIA;15;SENINHA;PMDB/PMDB / PSL / PRP / PP;3.343;52,11 %
COLÔNIA LEOPOLDINA;45;MANUILSON ANDRADE;PSDB/PSDB / PRP / PDT / PSC / PROS / PEN / PRB / PMN;6.363;56,60 %
COQUEIRO SECO;15;DECELE DAMASO;PMDB/PMDB / PSB / PSD / PRTB / PSDB / PMN / PT do B / PTN;1.880;49,51 %
CORURIPE;15;JOAQUIM BELTRÃO;PMDB/PMDB / PT / DEM / PDT / PRB / PSC / PSD / PSDB / PV / PR / PHS / PSL / SD;19.710;69,74 %
CRAÍBAS;15;EDIEL LEITE;PMDB/PMDB / PSDB / PSL / PRB / PRP / PR / PROS / SD;5.774;41,38 %
DELMIRO GOUVEIA;55;PADRE ERALDO;PSD/PRB / PTN / PSDC / PSD / PT / PRP;14.722;52,78 %
DOIS RIACHOS;44;RAMON CAMILO;PRP/PRB / PT / PMDB / PSC / PRP / PSL;3.637;54,75 %
ESTRELA DE ALAGOAS;11;ARLINDO GARROTE;PP/PP / DEM / PSB;4.777;56,86 %
FEIRA GRANDE;45;FLÁVIO DO CHICO DA GRANJA;PSDB/PSDB / PSC / PSL / PPS;7.096;51,66 %
FELIZ DESERTO;15;ROSIANA;PMDB/PMDB / PPS / PDT / PSD / PR / PTN / PROS / PEN;1.625;57,50 %
FLEXEIRAS;11;DONA ISA;PP/PP / PSDB / DEM / PV / PSB / PR / PSC / PT / PMN;3.776;57,53 %
GIRAU DO PONCIANO;14;DAVID BARROS;PTB/PTB / PMDB / PSDB / PPS / PRP / PSDC / PSB / DEM / PV / PSL / PDT / PT do B / PP / PHS;13.279;67,46 %
IBATEGUARA;70;GEO CRUZ;PT do B/PP / PSL / PMB / PSB / PSDB / PT do B / SD;4.907;58,11 %
IGACI;15;DR. OLIVEIRO;PMDB/PMDB / PR / PT / SD / PSC / DEM / PSDB / PPS;7.734;54,07 %
IGREJA NOVA;15;DONA VERA DANTAS;PMDB/PDT / PMDB / PMB / SD;4.641;35,33 %
INHAPI;13;ZÉ CICERO;PT/PT / PHS / PTC / PV / PSB / PRP;4.519;48,71 %
JACARÉ DOS HOMENS;40;FLORIANO;PSB/PSB / PP / PMDB / PSDB / PSD;2.043;51,08 %
JACUÍPE;12;CARRO VEIO;PDT/PDT / DEM / PTC / PT;2.042;44,56 %
JAPARATINGA;15;JÚNIOR LOUREIRO;PMDB/PMDB / PMB;1.860;34,55 %
JARAMATAIA;40;JEFFERSON BARRETO;PSB/PMN / PSDB / PP / PSL / PDT / PSB / PHS / PRP / PTB;1.960;52,22 %
JEQUIÁ DA PRAIA;10;JEANNYNE BELTRÃO;PRB/PRB / PDT / PSL / PSC / PPS / PR / DEM / PRP / PSDB / PT;3.429;55,49 %
JOAQUIM GOMES;40;ADRIANO BARROS;PSB/PMN / PPS / PSB / PRB / PSDB / PSD / PTC / PSL;4.543;45,16 %
JUNDIÁ;15;SEGUNDO;PMDB/PMDB / PTC / PPL / PV / PSL / PDT / PRTB;1.694;100,00 %
JUNQUEIRO;15;CARLOS AUGUSTO;PMDB/PP / PT / PDT / PMDB / PR / DEM / PHS / PROS / PMB / PSB / PSC / PRB / PSD / PSDB;6.964;49,51 %
LAGOA DA CANOA;11;TAINÁ DO DR LAURO;PP/DEM / PDT / PEN / PP / SD;5.794;50,79 %
LIMOEIRO DE ANADIA;11;MARCELO RODRIGUES;PP/PP / DEM;8.024;57,00 %
MACEIÓ;45;* RUI PALMEIRA;PSDB/PSDB / PP / PR / PPS / PDT / DEM / PROS;197.134;46,86 %
MACEIÓ;15;* CICERO ALMEIDA;PMDB/PMDB / PT do B / PHS / PV / PSC / PRB / PSD / PTB / PTN / PRTB / PC do B / SD;104.036;24,73 %
MAJOR ISIDORO;15;SANTANA MARIANO;PMDB/PMDB / PRTB / PSC / DEM / PHS / PSB / PV / PTC;6.544;56,72 %
MARAGOGI;11;SÉRGIO LIRA;PP/PP / PTB / PSL / PPS / PSDB / PT do B / PROS;8.776;57,25 %
MARAVILHA;15;CONCEIÇÃO ALBUQUERQUE;PMDB/PMDB / PSDB / PRP;3.265;55,21 %
MARECHAL DEODORO;55;CACAU;PSD/PSD / PPL / PT / PHS / PSL / PRB / PTC / PEN / PDT / PSC;13.536;50,01 %
MARIBONDO;10;LEOPOLDO PEDROSA;PRB/PRB / PRTB / PHS / PTB / PTC / PSDB / PPS;3.472;45,12 %
MAR VERMELHO;15;JULIANA ALMEIDA;PMDB/PMDB / PSD / PRP / PROS;1.406;50,81 %
MATA GRANDE;11;ERIVALDO MANDÚ;PP/PP / PSB;6.935;54,47 %
MATRIZ DE CAMARAGIBE;55;ANDERSON;PSD/PSD / PSL / PMB / PDT / PSC / PRTB / PRP / PC do B / PT / PEN / PSDC;7.463;53,95 %
MESSIAS;45;JARBINHAS;PSDB/PSDB / PSC / PSDC / PROS / PMN / PMDB / DEM / PMB / PRB;5.511;54,68 %
MINADOR DO NEGRÃO;15;GLEYSSON CARDOSO;PMDB/PMDB / PSDB / PPS / PDT;1.831;50,10 %
MONTEIRÓPOLIS;22;MAILSON MENDONCA;PR/PR / DEM / PRB / PROS / PSDB / PMB / PP / PSB / PRTB / PRP / SD;3.305;72,24 %
MURICI;15;OLAVO NETO;PMDB/PRB / PMDB / PSD / PRTB;8.493;62,10 %
NOVO LINO;45;LUCIA DE VASCO;PSDB/PMDB / PV / PSD / PSDB / DEM / PRP;3.987;53,72 %
OLHO D'ÁGUA DAS FLORES;22;NEN;PR/PR / PSDB / PV / PMN / PDT / PSD / PTC;5.680;48,90 %
OLHO D'ÁGUA DO CASADO;13;ZÉ DOS SANTOS;PT/PRB / PP / PT / PHS;3.120;57,36 %
OLHO D'ÁGUA GRANDE;45;ZÉ ADELSON;PSDB/PSDB / PDT / PRP / PROS;1.881;51,27 %
OLIVENÇA;55;ZÉ ARNALDO;PSD/PSD / PRP / PRB / PMN / PMDB;3.511;50,08 %
OURO BRANCO;15;EDIMAR BARBOSA;PMDB/PMDB / PSDB / PTN / PSD;3.797;60,37 %
PALESTINA;55;LANE CABUDO;PSD/PRTB / PSDB / PSD / PT / DEM / PRB / PTC / PSC;1.869;50,01 %
PALMEIRA DOS ÍNDIOS;40;JULIO CEZAR;PSB/PP / PSC / PROS / PPS / PSB / PSD / PSDC / PTN;23.786;64,62 %
PÃO DE AÇÚCAR;15;DR. FLAVIO;PMDB/PMDB / PDT / PR / PSL / PT / PTB / PTN / PRB;7.901;54,21 %
PARICONHA;11;DR FABIANO;PP/PP / PHS / PEN / PC do B / PR / PSB;3.596;55,70 %
PARIPUEIRA;45;HAROLDO NASCIMENTO;PSDB/PMDB / PSC / PR / DEM / PRTB / PV / PPL / PROS / PSDB;5.526;85,49 %
PASSO DE CAMARAGIBE;55;VANIA DO PASSO;PSD/PSD / PP / PSC / DEM / PRB / PRTB / PT do B;4.602;50,92 %
PAULO JACINTO;15;MARCOS LISBOA;PMDB/PMDB / PSB / PDT / PRTB / PTN / PT do B;2.727;55,95 %
PENEDO;12;MARCIUS BELTRÃO;PDT/PDT / PMDB / PRB / PT / PSL / PSC;12.780;41,78 %
PIAÇABUÇU;10;DJALMA BELTRÃO;PRB/PDT / PT / PRB / PSC / PSD / PT do B / PTC / DEM / SD;5.007;49,57 %
PILAR;45;RENATO FILHO;PSDB/PSDB / PROS / PSD;8.871;44,10 %
PINDOBA;40;MAXWELL TENORIO;PSB/PSB / PMDB / PRB / PSDB / DEM;1.195;57,20 %
PIRANHAS;11;MARISTELA;PP/PP / PRB / PPS / PSD / PHS / PC do B;6.921;50,58 %
POÇO DAS TRINCHEIRAS;15;APARECIDA;PMDB/PMDB / PSL / PSC / PHS / PSDB / PPL / PSD;3.943;50,71 %
PORTO CALVO;15;DAVID PEDROSA;PMDB/PMDB / PSL / PR / PRP / PDT / DEM;6.456;41,38 %
PORTO DE PEDRAS;45;HENRIQUE VILELA;PSDB/PSDB / PSB / PSL / PRB / DEM / PPS / PHS / PV / PSD / PMDB;3.407;61,06 %
PORTO REAL DO COLÉGIO;45;ALDO POPULAR;PSDB/PSDB / PSD / PSC;5.377;45,06 %
QUEBRANGULO;15;MARCELO LIMA;PMDB/PMDB / DEM / PR / PMN / PTC / PRB / PSL / PPS;4.452;57,83 %
RIO LARGO;11;GILBERTO GONÇALVES;PP/PP / PMN / PEN / PDT;12.633;32,07 %
ROTEIRO;12;WLADIMIR BRITO;PDT/PDT / PP / PR / PSL / PTB;2.948;69,97 %
SANTA LUZIA DO NORTE;10;EDSON MATEUS;PRB/PRB / PV / PTC;1.555;32,33 %
SANTANA DO IPANEMA;15;ISNALDO BULHOES;PMDB/PMDB / PSL / PR / PSD / DEM;13.501;57,09 %
SANTANA DO MUNDAÚ;15;ARTHUR FREITAS;PMDB/PMDB / DEM / PMN / PSB / SD;2.928;44,12 %
SÃO BRÁS;15;MARCOS;PMDB/PRB / PMDB / DEM / PSDB / PSD;3.249;67,25 %
SÃO JOSÉ DA LAJE;15;RODRIGO;PMDB/PRB / PMDB / PSD / PSL / PMB / PSDC / SD / PPL / PT / PSC / PR / PHS / PSDB / PROS;7.419;100,00 %
SÃO JOSÉ DA TAPERA;40;ZÉ ANTÔNIO;PSB/SD / PTC / PT do B / PSDC / PSDB / PSC / PSB / PRP / PRB / PPS / DEM / PMDB;9.773;66,01 %
SÃO LUÍS DO QUITUNDE;15;FERNANDA CAVALCANTI;PMDB/PMB / PT do B / PPL / PEN / SD / PSD / PDT / PMDB / PTN;6.716;40,05 %
SÃO MIGUEL DOS CAMPOS;25;PEDOCA JATOBA;DEM/PMDB / PTN / DEM / PSD / PT do B / PMB;14.158;47,22 %
SÃO MIGUEL DOS MILAGRES;55;BURECO ATAIDE;PSD/PSD / PSL / PT;2.963;53,81 %
SÃO SEBASTIÃO;11;ZÉ PACHECO;PP/PP / PSD / PSC / PPS / DEM / PHS / PMN / PSB / PV / PSDB / PC do B / SD;10.687;56,32 %
SATUBA;15;PAULO ACIOLY;PMDB/PMDB / PC do B / PV / PSL / PSDB / PSD / PR / PDT / DEM / PPS / PRTB / PT do B;4.354;54,06 %
SENADOR RUI PALMEIRA;15;JEANE MOURA;PMDB/PMDB / PR / PSDB / PSB;4.010;58,48 %
TANQUE D'ARCA;55;WIL;PSD/PSD / PMDB;1.300;32,23 %
TAQUARANA;11;BASTINHO;PP/PP / PRB / PDT / PMDB / PC do B / SD;5.783;55,80 %
TEOTÔNIO VILELA;45;JOÃOZINHO PEREIRA;PSDB/PSDB / PMN / PRB / PTC / PR / PP / PSDC / DEM / PPL / PSC / PSB / PPS / PMDB / PTN;12.827;63,21 %
TRAIPU;45;EDUARDO TAVARES;PSDB/PRP / PRB / PDT / PR / DEM / PSDC / PSB / PPL / PSD / PC do B / PT do B / PPS / PSDB;6.572;50,59 %
UNIÃO DOS PALMARES;15;KIL;PMDB/PMDB / PDT / PT do B / PEN / PSD / PSL / PSC / PSDC / PRB / PR / PC do B / PHS / PPS;17.817;55,19 %
VIÇOSA;12;DAVI BRANDÃO;PDT/PDT / PMDB / PT / PP / DEM / PSDC / PPL / PSL / PSD / PR;7.594;50,50 %
