Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
ALVARÃES;90;RUBEM BARBOSA;PROS/PMN / PRB / PT / PTC / PSD / PDT / PSB / PV / PC do B / PEN / PSC / PROS / PSL;3.567;45,62 %
ANAMÃ;15;RAIMUNDO CHICÓ;PMDB/PMDB / PTB / PP / PMN / PR / PEN / PC do B / SD;3.167;55,37 %
ANORI;15;JAMILSON CARVALHO;PMDB/PMDB / PT / PTB / DEM / PC do B / PP;4.655;57,25 %
APUÍ;90;ADIMILSON NOGUEIRA;PROS/PROS / SD / PTB / PEN / PDT / PRP / PV / PR / PSB / PT / PRTB / PC do B / PT do B;2.363;88,70 %
ATALAIA DO NORTE;12;NONATO;PDT/PDT / PTB / PSC / PEN / PRB / PROS;1.707;29,18 %
AUTAZES;90;ANDRESON CAVALCANTE;PROS/PROS / PRB / PSC / PMB / PTC / DEM / PSDB / PRP / PPL;9.729;46,41 %
BARCELOS;40;EDSON MENDES;PSB/PSB / PTC;2.697;37,00 %
BARREIRINHA;15;GLENIO SEIXAS;PMDB/PMDB / PP / PTC / PSDC / PSB / PMB / PRTB;5.590;39,07 %
BENJAMIN CONSTANT;22;DAVID;PR/PR / PSDB / PP / PMDB / PMN / PT do B / PSL / PT / PSOL;9.694;63,08 %
BERURI;15;DONA MARIA;PMDB/PMDB / REDE / PSC / PR / PPS / PSDB / PT do B / PROS;6.114;65,32 %
BOA VISTA DO RAMOS;25;ERALDO TRINDADE DA SILVA;DEM/DEM / PR / PPL / PMB;2.549;29,95 %
BOCA DO ACRE;45;ZECA;PSDB/PSDB / PP / PR / PHS / PMDB / PMN / PPS / PSDC / PV / PRB / PSB / PT do B;9.430;61,86 %
CAAPIRANGA;15;ANTONIO LIMA;PMDB/PMDB / PP / PT / PSDC / PPS;3.268;50,26 %
CANUTAMA;11;OTANIEL LYRA;PP/PP / PMDB / PTB / PDT / PT / PPL / PC do B / PSD;3.209;50,05 %
CARAUARI;90;MIBERWAL JUCÁ;PROS/PRB / PSL / PSC / DEM / PSDB / PSD / PC do B / SD / PROS;5.439;89,44 %
CAREIRO;90;NATHAN MACENA;PROS/PROS / PSL / SD / PTC / PRTB / PRB / PSDB / PSC / PMB;7.105;48,71 %
CAREIRO DA VÁRZEA;55;PEDRO GUEDES;PSD/PSD / PROS / PSDB / PR / PSC / PTN;5.530;100,00 %
CODAJÁS;55;DR LINCOLN;PSD/PSDC / PSL / PMB / PSD;4.164;36,77 %
EIRUNEPÉ;90;RAYLAN BARROSO;PROS/DEM / PHS / PSB / PV / PSDB / PEN / SD / PROS / PRTB;7.618;55,58 %
ENVIRA;90;IVON RATES;PROS/PROS / PSD / PDT / PSL / PTN / PPS / PRTB / PRP / SD;3.687;48,83 %
FONTE BOA;15;BIQUINHO;PMDB/PMDB / PDT / PT / PSC / PSL / PP / PTB;6.208;53,43 %
GUAJARÁ;22;ORDEAN;PR/PR / PP / DEM / PRP / PT do B / PV;2.292;35,27 %
HUMAITÁ;90;HERIVANEO SEIXAS;PROS/PROS / PSD / PTN / PSC / DEM / PMN / PV / PRB / PDT / PSDC / SD / PRP;10.752;49,41 %
IPIXUNA;45;MARIA OLIVEIRA;PSDB/PSDB / PMDB / PTB / PP / PC do B;4.308;57,40 %
IRANDUBA;25;CHICO DOIDO;DEM/DEM / PEN / PPS / PROS / PV / PSL / PMN / PTN / PPL / PP;10.497;57,63 %
ITACOATIARA;13;PEIXOTO;PT/PT / PMDB / PC do B / PDT / PTB / PSDC / PMN / PT do B / PTN / PPS / PRP;22.284;43,87 %
ITAPIRANGA;90;DENISE LIMA;PROS/PROS / DEM / PEN / PRTB / PSDB / PSC / PSD;2.857;46,48 %
JAPURÁ;15;ONEIDE;PMDB/PMDB / PP / DEM / PMN / PV / PPS;1.900;53,28 %
JURUÁ;15;DR. JUNIOR;PMDB/PMDB / PT / PDT / PTB;2.580;51,06 %
JUTAÍ;12;PEDRINHO;PDT/PDT / PP / PTB / PMDB / PTN / PR / PRTB / PSDC / PMN / PSB / PSDB / PSD / SD;4.675;52,16 %
MANACAPURU;90;BETO DANGELO;PROS/PROS / PSD / SD / DEM / PHS / PSL / PMB;14.427;28,15 %
MANAQUIRI;15;JAIR SOUTO;PMDB/PMDB / PR / PP / PSDB / PMN / PSDC / PEN / PRP / PTB / PDT;6.761;62,91 %
MANAUS;45;* ARTUR NETO;PSDB/PSL / PP / PMDB / PTN / PHS / PSDB / PV / PPL / PTB / PRP;364.487;35,17 %
MANAUS;22;* MARCELO RAMOS;PR/PR / PT do B / PTC / PEN / PSD / PROS / DEM;257.698;24,86 %
MANICORÉ;55;SABÁ MEDEIROS;PSD/PSD / PROS / SD / PPS / PR / REDE / PV / PSDB / DEM;9.568;44,98 %
MARAÃ;15;MAGNO MORAES;PMDB/PMDB / PPS / PMN / PT / PC do B;3.725;52,13 %
MAUÉS;90;JÚNIOR LEITE;PROS/PROS / PMB / PEN / PTN / PRTB / PT do B / PV / PHS / SD / PSL / PMN;9.262;40,14 %
NHAMUNDÁ;90;NENÊ MACHADO;PROS/PTN / PSC / PR / SD / PROS / PC do B / PRB / PSL / PSB / PPL;5.413;50,17 %
NOVA OLINDA DO NORTE;15;ADENILSON REIS;PMDB/PMDB / PPL / PTC / PT do B / PSDC / PR / PC do B / PPS;6.501;49,73 %
NOVO AIRÃO;45;WILTON;PSDB/PSDB / DEM / PSL / PSD;2.458;28,64 %
NOVO ARIPUANÃ;45;JOCIONE SOUZA;PSDB/PSDB / PR / PRTB / PSB / PMN / PEN;2.537;42,11 %
PARINTINS;45;BI GARCIA;PSDB/PSDB / PEN / SD / PV / PR / PT do B / PTB / PSL / PROS / PSC / PTC / PPS / PHS / PRP / PSDC / PPL / PRTB / DEM / PTN;30.970;63,20 %
PAUINI;15;ELIANA AMORIM;PMDB/PMDB / PR / PMN / PC do B / PPS;2.498;36,41 %
PRESIDENTE FIGUEIREDO;12;ROMEIRO;PDT/PDT / PPL / PT / PTB / PSC / PRP / PMB / PC do B / PRTB;8.619;49,18 %
RIO PRETO DA EVA;90;ANDERSON SOUSA;PROS/PROS / PPS / PHS / PRP / PSC / PSDB / SD / PV / PRB / PRTB / PEN / PSL / PTC / PDT / PSD / PSDC / DEM / PMN / PTB / PPL;5.551;46,97 %
SANTA ISABEL DO RIO NEGRO;15;CARECA;PMDB/PMDB / PMN / PPS;2.520;52,09 %
SANTO ANTÔNIO DO IÇÁ;55;ABRAÃO;PSD/PSD / PRB / PDT / PTB / PSC / PR / PPS / PSDC / PHS / PTC / PSDB / PC do B / PT do B / PP;5.744;52,85 %
SÃO GABRIEL DA CACHOEIRA;13;CLOVIS  CURUBÃO;PT/PT;4.649;30,19 %
SÃO SEBASTIÃO DO UATUMÃ;15;FALABELLA;PMDB/PP / PDT / PMDB / PPS / PSDB / PSDC / PC do B;2.002;53,46 %
SILVES;15;QUEIROZ;PMDB/PMDB / PTB / PSL;2.183;36,71 %
TABATINGA;55;SAUL BEMERGUY;PSD/PHS / PROS / PRP / PRTB / PSD / PT do B / PPS / PR / PRB;9.908;42,79 %
TAPAUÁ;15;ZEZITO;PMDB/PMDB / PC do B / PT / PMN / PSDC / PPS;3.721;40,26 %
TEFÉ;33;NORMANDO;PMN/PMN / PT / PC do B / PSOL;9.600;32,35 %
TONANTINS;11;CURICA;PP/PP / PROS / PSD / PMN / PR / PMDB;3.347;45,11 %
UARINI;33;ANTONIO UCHOA;PMN/PMN;2.158;35,51 %
URUCARÁ;15;ENRICO FALABELLA;PMDB/PMDB / PT / PRB / PP / PTB / PSC / PPS / PSDC / PMN / PV / PSDB / PEN;5.641;57,91 %
URUCURITUBA;13;SABUGO;PT/PT / PMDB / PSDC / PC do B / PP / PMB / PEN / PTB;6.466;64,60 %
