Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
ABAÍRA;14;DIGA;PTB/PTB / PMDB / DEM / PTN / PRB;2.701;51,30 %
ABARÉ;13;FERNANDO TOLENTINO;PT/PT / PP / PHS / DEM / PTN / PR / PSL / PSD;5.482;51,08 %
ACAJUTIBA;15;ALEX FREITAS;PMDB/PMDB / PSDB / PPL / SD / DEM;4.482;52,27 %
ADUSTINA;17;PAULO SERGIO;PSL/PSL / PT / PTN / SD;4.644;51,86 %
ÁGUA FRIA;25;MANOEL POTINHA;DEM/DEM / PDT / PMB / PV;4.617;51,13 %
AIQUARA;11;TAM;PP/PP / PDT / PRP / PSD / PC do B / PROS;1.213;36,49 %
ALAGOINHAS;25;JOAQUIM NETO;DEM/DEM / PROS / PV / PRP / PSDB;25.684;34,25 %
ALCOBAÇA;55;LEO BRITO;PSD/PSD / PDT / PV / PSL / PRP / PTB / PR / PSDC / DEM / PSB / PC do B;8.265;67,83 %
ALMADINA;19;MILTON CERQUEIRA;PTN/PTB / PSL / PTN / PSB / PV / PSD / PROS / PC do B / PT / PP;2.204;56,27 %
AMARGOSA;13;JULIO PINHEIRO;PT/PRB / PT / PDT / PMDB / PTN / PSD / PROS;10.500;55,53 %
AMÉLIA RODRIGUES;10;PAULO FALCÃO;PRB/PRB / PTC / PMDB / PR / PV / PROS / SD;5.305;36,85 %
AMÉRICA DOURADA;55;ROSE;PSD/PSD / PMDB / PPS / PHS / PSDB;5.140;50,97 %
ANAGÉ;12;DRA. ELEN ZITE;PDT/PDT / SD / PMDB / PRB / PP / PSB;5.677;94,27 %
ANDARAÍ;55;JOÃO LUCIO;PSD/PP / PT / PR / PSD / PSB / PC do B / PEN;4.059;56,07 %
ANDORINHA;11;RENATINHO;PP/PP / PMDB / PSC / PR / PSD;4.683;74,76 %
ANGICAL;25;GILSAO;DEM/PSC / PRB / PPS / DEM / PSDB;3.844;39,05 %
ANGUERA;13;FERNANDO;PT/PSD / PMDB / PSB / PV / PR / PT;4.528;59,27 %
ANTAS;17;SIDONIO NILO;PSL/PSL / PTC / PR / PSD / PMB;5.165;57,55 %
ANTÔNIO CARDOSO;13;TOINHO SANTIAGO;PT/PT / PP / PTN / PPS / PSD / PC do B;5.583;64,17 %
ANTÔNIO GONÇALVES;15;ROBERTO;PMDB/PDT / PT / PTB / PMDB / PSL / PTN / PR / PSB / PRP / SD;3.584;53,25 %
APORÁ;25;IVONEI;DEM/DEM / PEN / PDT / PSD / PSDB / PV / PTN;5.303;56,20 %
APUAREMA;11;RAIVAL;PP/PP / PMDB / PC do B / PR / PSD / PSL;2.375;54,01 %
