Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
ABAIARA;13;AFONSO;PT/PT / PDT / PC do B / PTB / PR;2.889;51,20 %
ACARAPE;55;DR. FRANKLIN;PSD/PSD / PDT / PRB / PSB / PHS / PRTB / PMB / PT / PTB / PEN;5.511;53,52 %
ACARAÚ;12;ALEXANDRE GOMES;PDT/PP / PDT / PT / PSL / PR / PMN / PSB / PSD / PTB;17.727;100,00 %
ACOPIARA;12;DR. VILMAR;PDT/PDT / PSDB / PSB / PSD / PTB / PTN / PHS / PMB / PRTB / PT do B / PP / SD;15.486;98,24 %
AIUABA;15;ADALBERTO FEITOSA;PMDB/PMDB / DEM / PSDB / PT / PR / PP / PC do B;3.598;100,00 %
ALCÂNTARAS;12;JOAQUIM DO QUINCA;PDT/PDT / PT / PTN / PR;4.334;58,07 %
ALTANEIRA;13;DARIOMAR;PT/PT / PDT / SD;2.545;54,11 %
ALTO SANTO;40;IRIS;PSB/PSB / PROS / PT / PDT / PR;5.010;50,23 %
AMONTADA;12;DR. VALDIR;PDT/PDT / PMDB / PR / PPS / PRTB / PMB / PSD / PROS;15.001;60,36 %
ANTONINA DO NORTE;77;EVANDRO ARRAIS;SD/PDT / PMB / PV / PSDB / PSD / SD;3.225;59,27 %
APUIARÉS;55;DR. ROBERTO;PSD/PSD / PSB / PMN / PRB / PT / PTB / PMDB;5.363;51,33 %
AQUIRAZ;15;EDSON SÁ;PMDB/PMDB / PMB / PSC / PSD / PSB / PRB / DEM / PPL / PEN / PTN;26.348;60,74 %
ARACATI;14;BISMARCK MAIA;PTB/PT / PP / PTB / PPS / PHS / PROS / PEN / PRTB;17.766;57,33 %
ARACOIABA;45;ANTONIO CLAUDIO;PSDB/PSDB / PMDB / PSB / PSC / PR;8.238;40,05 %
ARARENDÁ;13;ARISTEU;PT/PT / PR;4.091;59,98 %
ARARIPE;22;DR. GIOVANE;PR/PR / PSDB / PSB / PMDB / PC do B / PSDC / PT;7.671;57,90 %
ARATUBA;22;TIRICA DO JULIO CESAR;PR/PRB / PTB / PR / PPS / PMB / PSDB / PSD / PP / PHS;5.583;61,09 %
ARNEIROZ;15;EDGAR MONTEIRO;PMDB/PMDB / PDT / PSDB / PROS / SD / PTC / PTB / PEN;3.060;54,11 %
ASSARÉ;55;EVANDERTO ALMEIDA;PSD/PRB / PRP / PDT / PPL / PTB / PSD / PSB / PMDB / PMB / PROS / SD / PSDC;8.830;62,06 %
