Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
AFONSO CLÁUDIO;15;EDÉLIO GUEDES;PMDB/PRB / PDT / PTB / PMDB / REDE / PTN / PR / PRTB / PTC / PV / PSD / PROS;11.454;63,09 %
ÁGUA DOCE DO NORTE;25;PAULO MARCIO;DEM/PEN / DEM / PV / PSDB / PC do B / SD / PRP;5.071;60,72 %
ÁGUIA BRANCA;55;BRIZOLA;PSD/PSD / PPS / PSB / PTN / PHS / PROS / PR / PSC / PP / PMN / PV / PTC;3.779;54,90 %
ALEGRE;45;ZÉ GUILHERME;PSDB/PP / PSDB / PHS / REDE / PC do B / PSC / PDT / PTC / PSL / PTB;8.828;50,86 %
ALFREDO CHAVES;40;DR. FERNANDO;PSB/PSB / PROS / PMN / PSDB / PP / PSC / PR / PTN / PV;5.019;51,96 %
ALTO RIO NOVO;15;BOREL;PMDB/PMDB / PPS / DEM / PSD / PSDB;2.640;51,65 %
ANCHIETA;15;FABRICIO PETRI;PMDB/PMDB / PSB / PV / PMN / PR / PPL / PSD / PMB / PRTB / PTN / PDT / PT;12.395;65,38 %
APIACÁ;11;FABRICIO DO POSTO;PP/PP / PPS / PEN / PMDB / PSDB / PV / PT / PTN / REDE;2.278;45,57 %
ARACRUZ;77;JONES CAVAGLIERI;SD/SD / PPS / PRP / PRB / PTC / PSL / PSDC / PTN / PC do B / REDE / PMB;29.323;58,60 %
ATÍLIO VIVÁCQUA;40;ALMIR BARROS;PSB/PSB / PDT / PR / PPS / PP / PT / PRP / PSD / PV;5.277;72,66 %
BAIXO GUANDU;65;NETO BARROS;PC do B/PC do B / PDT / PT do B / PSB / PV / PPS / PTN / PTC / PSL / REDE / PMN / PSDC / PRTB / PRP / PMB / PP / DEM / PSC / PSD / PPL;9.515;53,12 %
BARRA DE SÃO FRANCISCO;13;ALENCAR MARIM;PT/PT / PRB / PTC / PSB / PEN / PC do B / PT do B;15.313;62,20 %
BOA ESPERANÇA;45;LAURO VIEIRA;PSDB/PSDB / PMDB / PSB / PT / PRP / PTB / PRB / PR / PP / PSC;5.164;62,28 %
BOM JESUS DO NORTE;55;MARQUINHOS MESSIAS;PSD/PSD / PSDB / PP / PV / PTN;2.502;43,79 %
BREJETUBA;43;JOAO LOURENÇO;PV/PRB / PP / REDE / PSC / PR / PPS / PMN / PSB / PV / PRP / PSDB / PROS;3.233;44,34 %
CACHOEIRO DE ITAPEMIRIM;40;VICTOR COELHO;PSB/PSB / PP / PC do B / PPL;59.377;58,93 %
CARIACICA;15;* MARCELO SANTOS;PMDB/PMDB / DEM / PSC / PRP / PTB / PSL / PT do B / PRB;71.590;41,89 %
CARIACICA;23;* JUNINHO;PPS/PPS / PSDB / PMN / PR / PHS / PP / PDT / PRTB / PROS / PMB / PV / PEN / PSD / SD;59.816;35,00 %
CASTELO;15;PIASSI;PMDB/PMDB / PSDB / DEM / PV / PSD / PP / PSC;10.564;50,65 %
COLATINA;15;SERGIO MENEGUELLI;PMDB/PMDB;19.689;30,24 %
CONCEIÇÃO DA BARRA;45;CHICÃO;PSDB/PSDB / PROS / SD / PRP / PR / PSD / PP / PV;7.317;45,57 %
CONCEIÇÃO DO CASTELO;15;CHRISTIANO SPADETTO;PMDB/PMDB / PSDB / PV / PMN / PR / PEN / PP / DEM / PTN;4.887;69,78 %
DIVINO DE SÃO LOURENÇO;15;ELEARDO;PMDB/PP / PDT / PTB / PMDB / PTN / DEM / PMN / PRP / PEN / SD / PROS;1.723;51,65 %
DOMINGOS MARTINS;55;WANZETE KRUGER;PSD/PRB / PP / PSL / PR / PPS / DEM / PV / PSDB / PEN / PSD / SD;17.212;82,81 %
DORES DO RIO PRETO;12;NINHO;PDT/PDT / PMN / PRP / PEN / PSB / PV;2.407;50,05 %
ECOPORANGA;22;JOSÉ LUIZ MENDES;PR/PR / PV / PROS / PT do B / PHS / PPS;3.273;44,50 %
FUNDÃO;33;ADRIANO RAMOS;PMN/PP / PMDB / REDE / PSC / PMN / PSB / PSDB;1.866;77,69 %
GOVERNADOR LINDENBERG;45;GERALDO LOSS;PSDB/PMDB / PSDB / SD / PC do B / PT do B / PMN / DEM / PP / PV;4.214;59,32 %
GUAÇUÍ;12;VERA COSTA;PDT/PDT / PEN / PP / SD / PSC / PPS / PMN / PHS / PROS / PSD / PSDB / PSL / PTN / PC do B;9.394;61,77 %
GUARAPARI;55;EDSON MAGALHÃES;PSD/PSD / PTB / DEM / PRP / PR / PMN / PSC / PPL / PSDC;27.926;44,86 %
IBATIBA;15;LUCIANO - PINGO;PMDB/PT / PTB / PMDB / REDE / PTN / PSC / PR / PMB / PC do B;6.828;48,13 %
IBIRAÇU;33;DUDA;PMN/PSB / PRP / PR / PSC / PEN / PMN / PSDB / PMDB / PHS;4.068;52,88 %
IBITIRAMA;15;REGINALDO;PMDB/DEM / PDT / PEN / PRB / PSDB / PMDB / PSB / PT / PTN / PHS / PMN / PRP / PSD;3.219;59,80 %
ICONHA;12;JOAO PAGANINI;PDT/PDT / PV;4.591;49,56 %
IRUPI;45;CARLOS HENRIQUE;PSDB/PSDB / PV / PRP / PTN / PR / PROS / PSC / PSL / PDT / PHS;4.276;50,89 %
ITAGUAÇU;15;DARLY;PMDB/PRP / PPS / PTB / PMB / PMDB / PR / PSB / REDE / PHS / PSDB;4.469;50,20 %
ITAPEMIRIM;90;DR. LUCIANO;PROS/PROS / PRP / PSL / PSB / PPL / PT / PDT / PMN / PTN / PRTB / PP / PPS / PRB / PSDB;15.941;67,88 %
ITARANA;44;ADEMAR SCHNEIDER;PRP/PRP / PSB / PV / PDT / PT / PMN / PT do B;4.667;60,58 %
