Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
ABADIA DE GOIÁS;45;ROMES GOMES;PSDB/PSDB / PHS / PRTB;2.367;34,82 %
ABADIÂNIA;55;ZE DINIZ;PSD/PSD / PMDB / DEM / PP / PRTB / PTC / PV / PROS;4.717;54,03 %
ACREÚNA;45;EDMAR NETO;PSDB/PSDB / PSD / PPS / PTB / PDT / PTC / PT do B;5.753;44,89 %
ADELÂNDIA;11;JOAQUIM DOS REIS;PP/PRB / PP / PTC / PRTB / PMDB / PSDC;1.426;53,41 %
ÁGUA FRIA DE GOIÁS;36;DR EDUARDO;PTC/PMDB / PTC / PT / PEN;2.402;60,73 %
ÁGUA LIMPA;11;VALDIR DO PRADO;PP/PP / PTN / PMDB;1.147;55,63 %
ÁGUAS LINDAS DE GOIÁS;45;HILDO DO CANDANGO;PSDB/PSDB / PTB / PV / PTN / PSB / PHS / PSC / PSDC / PMN / PRB / PSD / SD;39.746;66,41 %
ALEXÂNIA;23;DR. ALLYSSON;PPS/PPS / PMB / PSB / REDE;5.606;35,91 %
ALOÂNDIA;15;SINOMAR (PRAINHA);PMDB/PMDB / PROS / PTB / SD;1.046;56,60 %
ALTO HORIZONTE;55;BORGES;PSD/PP / PSD / PSDB / PDT / PSL / PPS / PTN / PHS / PC do B;2.545;51,64 %
ALTO PARAÍSO DE GOIÁS;22;MARTINHO;PR/PR / PROS / PRB / PSB / PMDB / DEM / PDT / PTN / PSC / PV / PTC / PSD / PSDB / PT / PMN;2.885;69,13 %
ALVORADA DO NORTE;45;IOLANDA;PSDB/PSDB / PDT / PP / PPS / PR / SD / PTN;3.621;71,60 %
AMARALINA;45;VANDEILSON;PSDB/DEM / PSDB / PDT / PROS / PP / PSC;1.363;53,16 %
AMERICANO DO BRASIL;14;SUELÍ;PTB/PSD / SD / PHS / PDT / PSB / PSDB / PRB / PP / PC do B / PTB / PSL / PPS;2.454;53,45 %
AMORINÓPOLIS;15;SILVIO ISAC;PMDB/PMDB / PP / PR / PT / PSB;1.637;47,99 %
