Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
AÇAILÂNDIA;65;JUSCELINO;PC do B/PRP / PC do B / PRTB / PMN / SD / PTC / PPS / PROS / PTB / PSB / DEM / PEN / PSC;33.652;58,22 %
AFONSO CUNHA;14;ARQUIMEDES;PTB/PTB / PSL / PP / PC do B / PRTB / PR / PSDC / PSC;2.181;43,28 %
ÁGUA DOCE DO MARANHÃO;15;THALITA DIAS;PMDB/PTN / PEN / PSDB / DEM / PMDB;4.111;47,61 %
ALCÂNTARA;65;ANDERSON;PC do B/PC do B / PMN;8.518;63,71 %
ALDEIAS ALTAS;11;ZÉ REIS;PP/PP / PROS / PPL / PRTB / PMB / REDE;6.062;46,05 %
ALTAMIRA DO MARANHÃO;12;RICARDO;PDT/PTB / PDT / PP / PRTB / PSD / PV / PMN / PT / PSL / PMDB;3.845;64,62 %
ALTO ALEGRE DO MARANHÃO;12;MANINHO DE ALTO ALEGRE;PDT/PDT / PT / PSL / PR / PPS / PSB / PV / PC do B / PSD / PROS / PSDB / PSC;6.892;100,00 %
ALTO ALEGRE DO PINDARÉ;15;FUFUCA;PMDB/PMDB / PT / PPS / PDT / PR / PV / PP / PSB;7.907;53,98 %
ALTO PARNAÍBA;45;RUBENS JAPONÊS;PSDB/PSDB / PC do B / SD / PV / PROS;3.267;49,87 %
AMAPÁ DO MARANHÃO;45;TATE DO ADEMAR;PSDB/PSDB / PT / PSL / PV / PC do B / PMDB / PPS;2.368;57,70 %
AMARANTE DO MARANHÃO;12;JOICE MARINHO;PDT/PDT / PT / PSL / PTN / PSC / PPS / DEM / PTC / PSD / PROS;9.912;49,82 %
ANAJATUBA;65;SYDNEI PEREIRA;PC do B/PT / PSB / PSD / PC do B;6.123;39,62 %
ANAPURUS;45;PROFESSORA VANDERLY;PSDB/PSDB / PRB / PDT / PMDB / PR / PEN / PV / PROS / PTC / PRTB;5.992;58,44 %
APICUM-AÇU;43;CLAUDIO CUNHA;PV/PV / PR / PROS / PTN / PSC / PSDB / PTC / PHS / PRTB / PTB;5.088;51,33 %
ARAGUANÃ;22;VALMIR AMORIM;PR/PR / PMDB / PMN / PROS / PRP / PSD / PSDC / PSDB / PDT;3.268;54,87 %
ARAIOSES;27;DR. CRISTINO;PSDC/PDT / PTB / PPS / PSDC / PTC;8.030;34,62 %
ARAME;12;JULLY MENEZES;PDT/PDT / PSL / PSDC / PSB / PV / PSDB / PC do B / PROS / PSD / PPS;10.434;65,51 %
ARARI;14;DJALMA MELO;PTB/PTB / PC do B / PSB / PT / PMN / PROS / PSL;9.473;54,89 %
AXIXÁ;12;SÔNIA CAMPOS;PDT/PDT / PSB / SD / PEN / PTB / PT / PV / PTC;4.053;49,22 %
BACABAL;15;ROBERTO COSTA;PMDB/PMDB / PSDB / PV / DEM / PDT / PT / PMB / PSB / REDE;18.330;71,21 %
BACABEIRA;33;FERNANDA GONÇALO;PMN/PRB / PP / PT / PMDB / PSL / PTN / PSC / PMN / PMB / PSB / PV;5.970;52,16 %
BACURI;55;JUNIOR TROPICAL;PSD/PRB / PP / PTB / PSL / PSD;2.833;52,34 %
BACURITUBA;12;SISTO;PDT/PDT / PEN / DEM / PSD / PRB / PSB / PC do B / PT;2.479;100,00 %
BALSAS;12;DR. ERIK;PDT/PDT / PT / PTB / PHS / SD / PEN / PMN / PROS / PSD / PC do B;23.751;53,84 %
BARÃO DE GRAJAÚ;65;GLEYDSON;PC do B/PC do B / PTB / PSB / PR / PT do B / DEM / PRP / PRB / PTC / PPS / PT / SD / PSDB / PHS;5.915;100,00 %
BARRA DO CORDA;65;ERIC COSTA;PC do B/PC do B / PRB / PP / PT / PTB / PSL / PTN / PSC / PPS / DEM / PRTB / PHS / PTC / PSB / PRP / PSDB / PEN / PPL / PSD / SD / PDT;22.338;51,73 %
BARREIRINHAS;15;ALBÉRICO FILHO;PMDB/PTB / PMDB / PR / DEM / PMB / PV / PTC;18.717;53,93 %
BELÁGUA;19;HERLON COSTA;PTN/PTN / PROS / PT do B / PV / PMN;2.394;47,42 %
BELA VISTA DO MARANHÃO;65;ORIAS;PC do B/PC do B / PMDB / DEM / PSB / PRB / PRTB;3.019;41,50 %
BENEDITO LEITE;15;RAMON BARROS;PMDB/PDT / PMDB / PMN;1.670;50,07 %
BEQUIMÃO;15;ZE MARTINS;PMDB/PMDB / PTN / PSD / PMB / PRB / PTB / PV / PP / PT;7.048;51,00 %
BERNARDO DO MEARIM;12;EUDINA;PDT/PDT / PR / PSD / PP / SD;2.254;54,14 %
