Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
ÁGUA CLARA;12;TUPETE;PDT/PDT / PT / PTB / PMDB / PSC / PR / PEN;4.398;51,27 %
ALCINÓPOLIS;25;DALMY;DEM/DEM / SD / PSB;1.270;42,65 %
AMAMBAI;45;DR BANDEIRA;PSDB/PSDB / PPS / PP / PR / PV / DEM / PRB / SD / PSB / PPL / PRTB / PRP;7.221;40,11 %
ANASTÁCIO;45;NILDO ALVES;PSDB/PSDB / PR / PT do B / PTB / PSB / PROS / SD / PMN / PTN / PP;6.542;47,15 %
ANAURILÂNDIA;15;EDINHO;PMDB/PMDB / PSB / PPS / PSDB / PROS;2.941;55,76 %
ANGÉLICA;40;ROBERTO CAVALCANTI;PSB/PRB / PTB / PSC / PSB / PEN / PROS;3.334;51,87 %
ANTÔNIO JOÃO;15;MARCIA MARQUES;PMDB/PMDB / PSDC / PPL / PRP / PTN / PSC / PSL / PP / SD / PSB / PMN / PHS / PR / PT / PEN / PT do B / PPS;2.394;42,19 %
APARECIDA DO TABOADO;40;ROBINHO SAMARA ALMEIDA;PSB/PSB / PSDB / PEN / PR / PPS / PT / SD / PPL / PTB / PMDB / PSC;6.041;44,69 %
AQUIDAUANA;45;ODILON RIBEIRO;PSDB/PSDB / PMDB / PROS / DEM / PT do B / PTC / PPS / PTN / PMN / PSDC / PSB / PEN / PV / PTB / REDE / PP / PRB / PDT / PC do B;15.061;62,43 %
ARAL MOREIRA;22;ALEXANDRINO GARCIA;PR/PR / PROS / PRB / PSB / PSDB / PEN / PP;2.558;46,31 %
BANDEIRANTES;25;ALVARO URT;DEM/DEM / PMN / PEN;1.539;32,36 %
BATAGUASSU;45;CARAVINA;PSDB/PRB / PTB / PR / PPS / DEM / PSDB / SD / PROS / PMDB / PSB / PP / PV / PTN;7.638;58,61 %
BATAYPORÃ;15;JORGE TAKAHASHI;PMDB/PMDB / PSB / PSD / PRB / PTB / PEN / DEM;3.727;57,36 %
BELA VISTA;45;REINALDO PITI;PSDB/PSDB / PMB / PT do B / PPS;3.527;30,17 %
BODOQUENA;45;KAZU;PSDB/PSDB / PROS / PEN / PPS / PSB;3.125;59,14 %
BONITO;45;ODILSON ARRUDA SOARES;PSDB/PSDB / PMDB / DEM / PP / PRB / PROS / PSB / PSD / PSL;7.279;57,22 %
BRASILÂNDIA;15;DR ANTONIO;PMDB/PMDB / PP / PSL / PSDC / PV / PT do B / PTC;4.012;57,42 %
CAARAPÓ;22;MARIO VALERIO;PR/PR / DEM / PP / PDT / PT / PMDB / PTN / PRTB / PMB / PTC / PT do B;9.718;59,85 %
CAMAPUÃ;45;DELANO;PSDB/PSDB / PP / PSD / PSC / PSL / PROS / PTB / PRB;5.064;55,15 %
CAMPO GRANDE;55;* MARQUINHOS TRAD;PSD/PSD / PEN / PHS / DEM / PT do B / PMN / PTB / PPL;147.694;34,57 %
CAMPO GRANDE;45;* ROSE MODESTO;PSDB/PSDB / PR / PSB / PSL / SD / PRB / PDT;113.738;26,62 %
CARACOL;22;MANOEL VIAIS;PR/PR / PSDB / PT / SD / PDT / PPS / PSC;2.097;52,45 %
CASSILÂNDIA;45;JAIR BONI;PSDB/PSDB / PEN / PRTB / PDT / PV / PMDB / PSC;6.956;59,91 %
CHAPADÃO DO SUL;45;JOÃO CARLOS KRUG;PSDB/PSDB / PTB / PDT / PTN / PV / SD / PP / PR / PSB / PSD;6.082;51,79 %
CORGUINHO;45;MARCELA R.LOPES;PSDB/PDT / PSC / PR / DEM / PSB / PV / PRP / PSDB / SD;1.912;58,74 %
CORONEL SAPUCAIA;15;RUDI PAETZOLD;PMDB/PDT / PMDB / PSC / PTC / PEN / PROS;4.454;57,75 %
CORUMBÁ;45;RUITER CUNHA;PSDB/PSDB / PTB / SD / PSC / REDE / PRP / PSB / PMB / DEM;23.566;46,41 %
COSTA RICA;22;WALDELI;PR/PR / PDT / PTB / PMDB / PPS / DEM / PSB / PEN / PSD / PT do B / PROS;10.426;76,57 %
