Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
ACORIZAL;45;CLODO;PSDB/PSDB / PSC;2.660;50,11 %
ÁGUA BOA;55;MAURAO;PSD/PSD / PR / PSC / PMDB / PRB / PT / SD / DEM / PP / PSDB;7.843;68,27 %
ALTA FLORESTA;15;DR. ASIEL;PMDB/PSD / PMDB / PRP / PTB;11.759;44,56 %
ALTO ARAGUAIA;40;GUSTAVO MELO;PSB/PRB / DEM / PSB / PMDB / SD / PP / PROS / PT / PDT / PRP / PC do B / PSC / REDE;6.152;64,76 %
ALTO BOA VISTA;20;VALTUIR;PSC/PSC / DEM / PSDB / PDT / PSB / PSD / PROS;1.037;39,85 %
ALTO GARÇAS;25;PROFESSOR CLAUDINEI;DEM/DEM / PSB / PSDB / PSD;3.295;55,25 %
ALTO PARAGUAI;45;DIANE;PSDB/PDT / PTB / PTN / PSD / DEM / PSDB / PSB;2.699;51,66 %
ALTO TAQUARI;45;VANDERLEY SANTEIRO;PSDB/PSDB / PSC / PP;1.690;49,46 %
APIACÁS;45;ADALTO ZAGO;PSDB/PT / DEM / PSD / PSDB;2.525;61,41 %
ARAGUAIANA;45;GETÚLIO;PSDB/PSDB / PSD / PMDB / PP / PT / SD / PPS;1.446;58,21 %
ARAGUAINHA;55;SILVINHO;PSD/PRB / PSB / PSD;523;58,96 %
ARAPUTANGA;40;JOEL;PSB/PSB / PRB / PSC;5.333;60,69 %
ARENÁPOLIS;55;ZÉ MAURO;PSD/PRB / PSC / PPS / PRP / PSD / PTB;2.771;48,01 %
ARIPUANÃ;22;JONAS CANARINHO;PR/PR / PSC;4.254;49,87 %
BARÃO DE MELGAÇO;20;ELVIO;PSC/PSC / PMDB / PR / PRB / PT;2.604;50,61 %
BARRA DO BUGRES;40;RAIMUNDO NONATO;PSB/PT / PMN / PMDB / PMB / PSB / SD;7.954;47,29 %
BARRA DO GARÇAS;15;ROBERTO FARIAS;PMDB/PMDB / PR / PSB / PROS / PRTB / PC do B / PMN / PPS / PTC / PSC / PP / PDT / PTB / PRB / PSL / SD;20.275;72,34 %
BOM JESUS DO ARAGUAIA;45;JOEL DA JM;PSDB/PSDB / PV / DEM / PP / PPS / PRP / PSD / PT / PTB / PDT / PSC;1.967;52,83 %
BRASNORTE;55;MAURO;PSD/PRB / PPS / PMB / PSB / PSDB / PSD;4.065;50,53 %
CÁCERES;45;FRANCIS MARIS;PSDB/PSDB / PR / PSC / PSD / PTB / PDT / PHS / PROS;22.372;62,91 %
CAMPINÁPOLIS;55;JEOVAN FARIA;PSD/PSD / PSDB / PMDB / PV / SD / DEM / PMB / PSB / PROS / PTB;4.913;69,32 %
CAMPO NOVO DO PARECIS;55;RAFAEL MACHADO;PSD/PDT / PTB / PPS / PV / PSD / PT / PMDB / REDE;6.337;42,81 %
CAMPOS DE JÚLIO;11;ZE ODIL;PP/PP / PV / PT / PRB / DEM;2.439;77,60 %
CAMPO VERDE;40;FABIO;PSB/PSDB / DEM / PTB / PSB / PT / PSD / PRP / PRB / PTC / PHS / PSL;11.018;51,63 %
CANABRAVA DO NORTE;45;JOAO CLEITON;PSDB/PSDB / PDT / PP / PTB / PR / DEM / SD;1.502;49,46 %
CANARANA;45;FABIO FARIA;PSDB/PSDB / PMB / PTB / PRP / PR / PSB / PPS / PSC;7.075;66,08 %
CARLINDA;25;CARMEN MARTINES;DEM/DEM / PSC / PP / PDT / PSD / PTB / PR / PSB;4.034;100,00 %
CASTANHEIRA;13;MABEL;PT/PT / PMDB / PSD;2.690;60,60 %
CHAPADA DOS GUIMARÃES;45;THELMA DE OLIVEIRA;PSDB/PRP / PSL / PHS / PRTB / PSDB / SD;5.110;44,64 %
CLÁUDIA;45;ALTAMIR KURTEN;PSDB/PSDB / PMDB / PP / PDT / PSB / PR;2.991;50,76 %
COCALINHO;45;DALVA PERES;PSDB/PSD / PSDB / PP / PSC / PROS / SD / PTB;2.122;58,17 %
COLÍDER;55;NOBORU TOMIYOSHI;PSD/PSD / PTB / PRB / REDE / PSC / PSB / PV / PROS / PT;8.622;52,00 %
COLNIZA;40;VANDO COLNIZATUR;PSB/PSB / PP / PT / DEM / SD;5.070;51,14 %
COMODORO;25;JEFERSON CADEIRANTE;DEM/PRB / PDT / PT / PMDB / DEM;5.487;54,49 %
