Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
ABADIA DOS DOURADOS;25;WANDERLEI LEMES;DEM/DEM / PT / PSC / PP / PPS / PRB;2.792;56,36 %
ABAETÉ;25;ARMANDINHO;DEM/DEM / PV / PMDB / PTB / PT do B / PTC / PDT / PR / PT / PROS;9.948;71,42 %
ABRE CAMPO;13;MÁRCIO VICTOR;PT/PT / PMDB / PSB / PROS / PSD / PV / PPL / PR;4.939;57,33 %
ACAIACA;13;LULU;PT/PT / PSB / PEN / PMDB;1.555;53,45 %
AÇUCENA;13;DARCIRA;PT/PT / PTB / PSD / PC do B / PTC / PROS / PSB / PSC;2.531;41,38 %
ÁGUA BOA;40;VIEIRA;PSB/PSD / PSB / PV / PSDB / PDT / PMDB / PP;4.395;50,84 %
ÁGUA COMPRIDA;55;GUSTAVO;PSD/PRB / PT / PSC / DEM / PSDB / PSD;1.459;100,00 %
AGUANIL;43;SEBASTIAO ELOI;PV/PV / PT / PRB / PRTB / PSD;1.817;52,61 %
ÁGUAS FORMOSAS;22;DR. ALFEU;PR/PSD / PROS / PR / PTN / PSB / DEM / PP;5.075;47,65 %
ÁGUAS VERMELHAS;15;CHINHA;PMDB/PMDB / PTB / PSL / PR / PMN / PSB;3.880;51,78 %
AIMORÉS;15;MARCELO FUBA;PMDB/PP / PV / PSB / PSD / PSDB / PTB / PMDB / PRB;8.107;52,77 %
AIURUOCA;22;PAULINHO SENADOR;PR/PP / PT / PR / PSL / PSDB;2.638;72,27 %
ALAGOA;45;JULIANO;PSDB/PSDB / PMDB;1.312;56,75 %
ALBERTINA;11;JOÃO PAULO;PP/PP / PC do B / PSDB / SD;1.503;63,02 %
ALÉM PARAÍBA;25;MIGUELZINHO;DEM/DEM / PSD / PRB / REDE / PPS / PTC / PV / SD;13.534;64,23 %
ALFENAS;13;LUIZINHO;PT/PT / REDE / PC do B / PP / PSD / PRP / PV / PTB;17.596;41,09 %
ALFREDO VASCONCELOS;31;VICENTINHO;PHS/PP / PT / DEM / PTB / PROS / PSD / PHS / SD;3.082;75,15 %
ALMENARA;55;ADEMIR GOBIRA;PSD/PSD / PSDC / PROS / PMN / PSC / PRB / SD / PT do B / DEM / PP / PT;10.734;51,97 %
ALPERCATA;55;PREFEITO VALMIR;PSD/PP / PMDB / PSB / PSDB / PT do B / PSD;2.368;45,74 %
ALPINÓPOLIS;55;ZÉ DA LOJA;PSD/PDT / PTB / PTC / PV / PSD;6.506;53,68 %
ALTEROSA;40;HERMES;PSB/PSB / PSL / PROS / PT / PTC;4.914;50,08 %
ALTO CAPARAÓ;45;ZÉ GOMES;PSDB/PDT / PSDB / PPS;2.473;67,29 %
ALTO JEQUITIBÁ;14;TUGUEIS;PTB/PP / PDT / PMDB / PSDB / PTB / PT / PPS / PR / PT do B;3.718;74,90 %
ALTO RIO DOCE;45;DR. WILSON;PSDB/PSDB / PR / DEM / PSD;4.125;51,99 %
ALVARENGA;43;DIOCÉLIO;PV/PT / PV / PSDB / PSD;2.099;55,22 %
ALVINÓPOLIS;14;JOÃO GALO ÍNDIO;PTB/PTB / PSL / DEM / PSB / PSDB;5.641;55,41 %
ALVORADA DE MINAS;45;WARLEY;PSDB/PSDB / PSD / PP / PR / PT / PMDB;1.267;88,60 %
AMPARO DO SERRA;31;ASTOLFO;PHS/PT do B / PHS / PT / PSL / PEN;1.906;50,56 %
ANDRADAS;15;RODRIGO LOPES;PMDB/PP / PDT / PTB / PMDB / PTN / PR / PPS / DEM / PSB / PV / PSDB / PSD;14.687;76,32 %
ANDRELÂNDIA;43;CACAU;PV/PV / DEM / PTB;4.751;62,90 %
ANGELÂNDIA;45;PAULINHO PINHEIRO;PSDB/PP / PDT / PTB / PSDB / PSD;2.559;52,94 %
ANTÔNIO CARLOS;15;NATINHO;PMDB/PMDB / SD / PHS / PEN / PTB / PT;4.331;58,12 %
ANTÔNIO DIAS;15;CARLINHOS;PMDB/PMDB / PSDB / PPS / PR / PT / PSB / PHS / PV / PSC;3.004;95,33 %
ANTÔNIO PRADO DE MINAS;14;SANSÃO;PTB/PTB / PSDB;1.050;58,59 %
ARAÇAÍ;12;ALESSANDRO;PDT/PDT / DEM / PTB / PSC;1.089;73,93 %
ARACITABA;15;FABINHO ALFEU;PMDB/DEM / PR / PMDB;1.110;52,51 %
ARAÇUAÍ;13;DR ARMANDO;PT/PT / PPL / PC do B / PPS / PHS;8.851;47,25 %
ARAGUARI;15;MARCÃO;PMDB/PMDB / PMB / PEN / PSC / SD / PSB / PSD / PMN / PPS / PRB / PRTB;30.442;46,93 %
ARANTINA;25;CACÁ;DEM/DEM / PRTB / PP;1.213;52,02 %
ARAPONGA;23;HENRIQUE DO JUAREZ;PPS/PPS / PDT;3.197;62,30 %
ARAPORÃ;11;RENATA BORGES;PP/PP / PSC / PR / PDT / PHS / PTC / PRB / PSD / PPS / PT / PRP / DEM;2.958;58,03 %
ARAPUÁ;15;JOÃO TERTO;PMDB/PMDB / PMN / PROS;1.687;56,74 %
ARAÚJOS;15;SÔNIA;PMDB/PRB / PMDB / DEM / PT do B;1.981;100,00 %
ARAXÁ;22;ARACELY DE PAULA;PR/PR / PP / PDT / PMDB / PPS / PSB / PRB / PSD / PTB / PT do B / PRP / PRTB / PC do B / PTN / PSL / PROS;30.398;54,59 %
ARCEBURGO;22;GILSON MELLO;PR/PRB / PP / PMDB / PR / PPS / DEM / PSB / PT do B / SD / PROS;4.098;68,67 %
ARCOS;15;DENILSON;PMDB/PP / PMDB / PSL / PV / SD / PROS;10.802;43,74 %
AREADO;70;DOUGLAS DO BORDADO;PT do B/PT do B / PSL / PSB / SD / PTB / PROS;2.950;51,66 %
ARGIRITA;22;CACAU;PR/PR / PPS / PDT / DEM / PEN;1.324;51,66 %
ARICANDUVA;12;ORLANDO CORDEIRO;PDT/PDT / DEM;1.865;53,33 %
ARINOS;55;CARLOS ALBERTO;PSD/PSD / PR / DEM / REDE / PHS / PRTB / PSDB / PPL / PT do B / SD / PDT;5.308;52,26 %
ASTOLFO DUTRA;45;BRUNO ENFERMEIRO;PSDB/PSDB / PDT / PPS / PHS / PSD / SD / PSC;4.562;50,25 %
ATALÉIA;20;TARIK;PSC/PDT / PMDB / PSC / DEM / PSDC / PHS / PSB / PSDB / SD / PROS;5.550;67,38 %
AUGUSTO DE LIMA;40;JOAO CARLOS;PSB/PSB / PP / PMDB / DEM / PSDB;1.443;43,73 %
BAEPENDI;12;HITINHO ROLLO;PDT/PDT / PMDB / SD;6.131;50,27 %
BALDIM;13;ZITO;PT/PT / DEM / PMN / PHS / PSC / PR;2.459;43,51 %
BAMBUÍ;40;OLIVIO VIEIRA;PSB/PSB;5.278;35,79 %
BANDEIRA;10;ANTONIO;PRB/PRB / PT / PMDB / PTB / PSL / PR / PPS / PHS / PRP / PTC / SD;1.947;55,68 %
BANDEIRA DO SUL;45;ZÉ CAPITUVA;PSDB/PSDB / PSB;2.840;63,49 %
BARÃO DE COCAIS;43;DÉCIO DENTISTA;PV/REDE / PEN / PV / PSC / PRTB;10.282;56,23 %
BARÃO DE MONTE ALTO;22;BIJU;PR/PR / PMDB / PSD / DEM;2.719;56,54 %
BARBACENA;40;LUIS ÁLVARO;PSB/DEM / PHS / PPS / PRTB / PSB / PSD / PSDB / PV / REDE / PRP / PROS;14.291;22,42 %
BARRA LONGA;15;ELÍSIO;PMDB/PDT / PTB / PMDB / PSDB / PSL / PC do B;1.845;40,67 %
BARROSO;45;REINALDO;PSDB/PR / PT do B / PDT / PRB / PT / PPS / PROS / PSC / PSD / PSDB;7.094;51,13 %
