Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
ABATIÁ;12;GARCIA;PDT/PT / PP / PDT / PSD / PMDB;3.370;66,98 %
ADRIANÓPOLIS;20;CIDE DO BANCO;PSC/PSC / PT;2.900;68,54 %
AGUDOS DO SUL;15;LUCIANE TEIXEIRA;PMDB/PDT / PT / PTB / PMDB / PR / DEM / PSD / PROS;2.957;49,32 %
ALMIRANTE TAMANDARÉ;15;GERSON COLODEL;PMDB/PMDB / PRB / PDT / PTN / DEM / PT / PC do B / PRP / PV / PR / PRTB / PPL / PEN;22.068;45,00 %
ALTAMIRA DO PARANÁ;40;ELZA;PSB/PP / PMDB / PPS / PMB / PSB / PSDB / SD / PT;2.264;100,00 %
ALTÔNIA;25;GERVASONE;DEM/PP / DEM / PHS / PR / PSD / PSC / PTN / PPS;7.449;61,14 %
ALTO PARAÍSO;11;PRETO;PP/PP / PSD / PSDB / PROS / PSB / PSC / PMDB;1.363;50,88 %
ALTO PARANÁ;23;MIRO;PPS/PTB / PDT / PEN / PPS / PT;5.968;74,85 %
ALTO PIQUIRI;17;CARDOSO;PSL/PSL / PMDB / PDT / PTN / PSB / PSC / PPS / DEM / PSDB / PSD;2.948;49,85 %
ALVORADA DO SUL;15;MARCOS PINDUCA;PMDB/PMDB / DEM / PSDC / PSD / PV / PP / PSL;3.507;58,34 %
AMAPORÃ;15;TEREZINHA YAMAKAWA;PMDB/PMDB / DEM / PSC / PP / PSB / PR / PHS / PMN;2.032;59,57 %
AMPÉRE;11;ZUCA LUQUINI;PP/PP / PTB / PR / PEN / DEM / PSD;4.437;39,67 %
ANAHY;20;CARLÃO;PSC/PT / PSC / PR / PSDB / PPL / PPS / PP;1.261;52,56 %
ANDIRÁ;15;IONE ABIB;PMDB/PMDB / PTB / SD / PP / PR / PEN / PSDB / PSB / PSD / PPS / REDE;7.207;54,22 %
ÂNGULO;33;ROGERIO BERNARDO;PMN/PP / PDT / PTB / PSL / PMN / PSD / PSB / PSC;1.341;82,52 %
ANTONINA;40;ZE PAULO;PSB/PSB / PSL / PTN / PHS / PSD / PTC / PMDB / PSDB / PRP / SD / PTB / PR / PROS / PP / PDT / PRTB / PRB;5.709;46,30 %
ANTONIO OLINTO;15;FABINHO MACHIAVELLI;PMDB/PMDB / PR;4.000;100,00 %
