Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
ÁGUA BRANCA;15;TOM;PMDB/PMDB;2.974;50,99 %
AGUIAR;14;LOURIVAL;PTB/PTB / PSDB / PR / PMB / PT do B / PDT / PRB / PC do B / PSB / PMN;2.656;72,53 %
ALAGOA GRANDE;55;SOBRINHO;PSD/PRB / PTB / PSD / PT do B;7.474;46,67 %
ALAGOA NOVA;45;AQUINO;PSDB/PSDB / PSD / PTB / PT do B / PHS / PDT / PP / PPS / DEM;6.174;51,71 %
ALAGOINHA;15;JEOVÁ JOSÉ;PMDB/PMDB / PSDB / PP / PR / PROS / PSL / PPS / PDT;4.656;53,28 %
ALCANTIL;10;MILTON;PRB/PRB / PP / PDT / PT / PPS / PSDC / PSB / PSD / PC do B;1.997;52,24 %
ALGODÃO DE JANDAÍRA;55;MARICLEIDE;PSD/PMDB / DEM / PC do B / PSD / PSL;1.234;50,04 %
ALHANDRA;25;RENATO MENDES;DEM/DEM / PTB / PSDB / PHS / PR / PT do B / PPS / PEN;7.722;51,42 %
AMPARO;25;INÁCIO NÓBREGA;DEM/PRTB / PPS / DEM;1.030;50,71 %
APARECIDA;55;JULIO CESAR;PSD/PSD / PTC / PSDB / PSB;2.911;51,20 %
ARAÇAGI;40;MURILIO NUNES;PSB/PSB / PSL / PR / SD / PT do B / PSDB / PT;6.158;58,73 %
ARARA;17;NEN;PSL/PRB / PT / PTB / PSL / PR / PHS / PSDB / PSD / PT do B;3.980;60,79 %
ARARUNA;11;VITAL COSTA;PP/PP / PSB / PSL / PSD / PRP / PTB / PR / PRB / PT / PEN / DEM / PPS / PTC / PRTB / PROS / PV;5.860;57,02 %
AREIA;45;JOÃO FRANCISCO;PSDB/PSDB / PSD / PRB / PTB / PMDB / PSC / PTC / PHS / PPS / PMB;8.873;61,69 %
AREIA DE BARAÚNAS;25;GUIA DE ZÉ DE PEDRO VELHO;DEM/DEM / PSDB;832;52,62 %
AREIAL;45;ADELSON;PSDB/PT / PSDB / PSD;2.603;54,89 %
AROEIRAS;45;MYLTON MARQUES;PSDB/PTB / PSDB / PPS / PSD;6.269;51,32 %
ASSUNÇÃO;14;VOGEL;PTB/PTB / PT / PSB / DEM / PPS;1.981;65,57 %
BAÍA DA TRAIÇÃO;14;SERGINHO LIMA;PTB/PTB / PSDB / DEM / PMB;2.034;37,40 %
BANANEIRAS;40;DOUGLAS LUCENA;PSB/DEM / PV / PSD / PT / PPS / PDT / PRTB / PHS / SD / PSB;6.779;51,39 %
BARAÚNA;40;MANASSES DANTAS;PSB/PMDB / PP / PR / PSD / PSB;1.934;55,08 %
BARRA DE SANTANA;55;CACILDA;PSD/PP / PR / PPS / PSDC / PSD;2.999;51,35 %
BARRA DE SANTA ROSA;25;NETO;DEM/DEM / PSB / PHS / PDT / PP;5.575;62,66 %
BARRA DE SÃO MIGUEL;40;JOÃO BATISTA;PSB/PSB / PMDB / PT / PTB / PT do B / PSD / PPS;2.364;56,09 %
BAYEUX;19;BERG LIMA;PTN/PTN / PR / PHS / PPS / PTB / PTC / REDE / PT / PSDB;33.437;58,92 %
BELÉM;15;RENATA;PMDB/PV / SD / PT do B / PMDB;5.401;50,90 %
BELÉM DO BREJO DO CRUZ;70;EVANDRO MAIA;PT do B/PSB / PT do B / PROS / SD / PHS / PP;2.820;55,57 %
BERNARDINO BATISTA;40;GERVAZIO GOMES;PSB/PSB / PTB / DEM / PSDB;1.962;100,00 %
BOA VENTURA;55;LEONICE LOPES;PSD/PSD / PSDC / PROS / PPS;2.376;56,36 %
BOA VISTA;12;ANDRÉ GOMES;PDT/PDT / PTB / PSL / PSDB / PSC / PC do B;2.916;58,25 %
BOM JESUS;55;ROBERTO BAYMA;PSD/PSD / PSDB / PTB / PP / PR;1.638;60,00 %
BOM SUCESSO;14;PEDRO CAETANO;PTB/PTB / DEM / PRB / PROS;2.159;58,75 %
BONITO DE SANTA FÉ;40;CHICO PEREIRA;PSB/PT do B / PRB / PC do B / PT / PP / PEN / PTB / PMDB / PSC / PSB;3.425;58,70 %
BOQUEIRÃO;55;JOÃO PAULO II;PSD/PDT / PTB / PR / PSD;8.107;69,49 %
BORBOREMA;14;GILENE;PTB/PTB / PMDB / DEM / PSDB;2.037;56,08 %
BREJO DO CRUZ;22;BARÃO;PR/PP / PR / PSD / PMB / PSB / PV;4.672;56,03 %
BREJO DOS SANTOS;45;DR. LAURI;PSDB/DEM / PSDB / PSD;2.634;51,72 %
CAAPORÃ;12;KIKO;PDT/PDT / PTB / PSC / PPS / DEM / PHS / PMB / PSDB / PEN / PT do B / SD / PMN;9.795;71,31 %
CABACEIRAS;40;TIAGO CASTRO;PSB/PSB / PMDB / DEM / PROS / PTB / PP / PC do B / PTN / PDT;2.083;53,87 %
CABEDELO;44;LETO VIANA;PRP/PRP / PRTB / PSDB / PSC / PPS / PEN / PMN / PSL / PR;15.901;48,30 %
CACHOEIRA DOS ÍNDIOS;40;ALLAN;PSB/PSB / PRB / PTB / PMB / PV;3.042;50,82 %
CACIMBA DE AREIA;15;ROGÉGIO CAMPOS;PMDB/PC do B / PMDB / PSB;1.501;50,54 %
CACIMBA DE DENTRO;40;NELINHO;PSB/PDT / PT / DEM / PV / PSB / PSC / PR / PSL;5.420;50,88 %
CACIMBAS;40;LEO;PSB/PSB / PDT / REDE / PRB / DEM;2.264;51,70 %
CAIÇARA;40;HUGO ALVES;PSB/PSB / PSDB / PSL;2.996;58,04 %
CAJAZEIRAS;11;ZÉ ALDEMIR;PP/PP / PT / PMDB / REDE / PPS / PRTB / PSDB / PPL / PSD / PC do B;16.926;49,70 %
CAJAZEIRINHAS;40;ASSIS RODRIGUES;PSB/PSB / PP / PSC / PPS / PSD / PT;1.798;60,36 %
CALDAS BRANDÃO;15;NEUMA ROLIM;PMDB/PMDB / DEM / PP / PTN;2.704;64,08 %
CAMALAÚ;45;SANDRO MOCO;PSDB/PSDB / PV;2.335;52,06 %
CAMPINA GRANDE;45;ROMERO RODRIGUES;PSDB/PSDB / PP / PSD / PPL / PHS / PMB / PTC / PSDC / PRB / PMN / PSC / PTB;138.996;62,85 %
CAPIM;45;TIAGO LISBOA;PSDB/PSDB / PV / PRB / PSD / SD;2.454;52,01 %
CARAÚBAS;40;SILVANO DUDU;PSB/PSC / PSB;1.734;51,58 %
CARRAPATEIRA;22;MARINEIDE DE DEDE;PR/PR / PPS / DEM / PC do B / PSDB;1.031;50,44 %
CASSERENGUE;45;DINDA;PSDB/PSDB / PRB / PRTB;2.387;52,59 %
CATINGUEIRA;15;DR. ODIR;PMDB/PMDB / PSB / DEM / PSD / PC do B / PT do B;2.339;61,86 %
CATOLÉ DO ROCHA;14;LEOMAR BENÍCIO MAIA;PTB/PTB / PP / DEM / PSDB / PPS;9.757;56,70 %
CATURITÉ;55;ZÉ JOÃO;PSD/PSD / PRB / PDT / PRTB / PTC / PSDB / PC do B;2.194;56,24 %
CONCEIÇÃO;45;NILSON LACERDA;PSDB/PP / PMDB / PSC / PR / DEM / PRTB / PTC / PSDB;6.358;55,44 %
CONDADO;22;CAIO PAIXAO;PR/PR / PSDB / PSC / PSD / PC do B / PRB / DEM;3.107;68,26 %
CONDE;40;MÁRCIA LUCENA;PSB/PSB / PEN / PV / PT / PRTB;6.477;49,10 %
CONGO;12;JUNIOR QUIRINO;PDT/PDT / PMDB / PT / PSC / PSB;2.733;71,21 %
COREMAS;12;CHAGUINHA DE EDILSON;PDT/PDT / PP / PSC / PR / PSB / PSD;4.640;48,48 %
COXIXOLA;25;GIVALDO;DEM/DEM / PSB / PSD;866;55,94 %
CRUZ DO ESPÍRITO SANTO;55;PEDRITO;PSD/PSD / PSL;6.934;55,74 %
CUBATI;40;DUDU;PSB/PSB / PTB / PPS / PSD / PSDC;3.160;61,36 %
CUITÉ;17;CHARLES CAMARAENSE;PSL/PSL / PP / PDT / PT / PR / PPS / DEM / PSB / PEN / PT do B;6.887;51,97 %
CUITÉ DE MAMANGUAPE;20;JAIR DA FARMÁCIA;PSC/PSC / PP / PDT / PTN / PC do B;2.998;53,95 %
CUITEGI;40;GUILHERMINHO MADRUGA;PSB/PMDB / PP / PSB / PRB / PDT / PSDC / PSD / PROS;2.396;53,72 %
CURRAL DE CIMA;45;TOTÓ RIBEIRO;PSDB/PP / PSL / PR / PSDB / PT do B / SD;2.155;54,34 %
CURRAL VELHO;45;FILHINHO;PSDB/PSDB / PSD / PTB;990;55,06 %
DAMIÃO;40;LUCILDO;PSB/PSB / PTB / PMDB / PROS / PSDB;2.013;53,11 %
DESTERRO;22;DIDI;PR/PR / PP / PMDB / PPS / PSDB / PHS;2.797;51,15 %
DIAMANTE;45;CARMELITA DE ODONIEL;PSDB/PSDB / PTB / DEM / PSD;2.534;55,53 %
DONA INÊS;55;JOÃO IDALINO;PSD/PSD / PP / PSDB;3.424;50,24 %
