Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
ABAETETUBA;15;CHITA;PMDB/PEN / PRB / PSL / PTB / PMB / PTC / PSD / PROS / PMDB;25.735;30,32 %
ABEL FIGUEIREDO;11;HIDELFONSO;PP/PP / PR / PSB / PSL / PRB / PMDB;2.591;55,33 %
ACARÁ;45;AMANDA MARTINS;PSDB/PSDB / REDE / PTB / PEN / PSDC / DEM / PTC / PMN / PRP / PP / PPS;16.564;47,30 %
AFUÁ;55;MAZINHO SALOMAO;PSD/PSD / PSDB / PP / PSL / PTC / PDT / PSC / DEM / PSB / PC do B / SD;11.488;58,42 %
ÁGUA AZUL DO NORTE;20;RENAN;PSC/PSC / PDT / PTB / PT;2.896;38,21 %
ALENQUER;23;JURACI;PPS/PP / PPS / PSL / PC do B;12.007;51,24 %
ALMEIRIM;22;ADRIANE BENTES;PR/PMDB / PRB / PTB / PHS / PROS / PC do B / PT / PTN / PR;11.334;64,03 %
ALTAMIRA;15;DOMINGOS JUVENIL;PMDB/PMDB / PSC / PP / PHS / PV;26.095;50,94 %
ANAJÁS;35;JACY TABOSA BARROS;PMB/PMDB / PDT / PHS / PMB / PT;8.131;57,34 %
ANANINDEUA;45;PIONEIRO;PSDB/PSDB / PSB / PR / PROS / PRP / PTB / PV / PSC / PT do B / PEN / PPS / SD / PSDC / PDT / DEM / PTC / PMN / PSL / PPL;127.906;55,64 %
ANAPU;45;AELTON;PSDB/PSDB / PSB / PSD;7.134;51,94 %
AUGUSTO CORRÊA;25;FILHO BARRETO;DEM/DEM / PR / PSC / PP / SD / PPL / PRP / PEN;12.083;44,01 %
AURORA DO PARÁ;25;JORGE CHICÓ;DEM/DEM / PSC / PSD / PMN / PRP / PPL / PDT / PC do B / PTB;7.278;49,52 %
AVEIRO;15;VILSON;PMDB/PRB / PTB / PMDB / PSB;3.522;42,23 %
BAGRE;55;NILSON FARIAS;PSD/PSD / PSDB / DEM / PTB / PMN / PRTB;5.485;48,99 %
BAIÃO;45;JADIR NOGUEIRA;PSDB/PMDB / PEN / PSDB / PROS / PSD / PV;11.342;58,05 %
BANNACH;15;LUCINEIA OLIVEIRA;PMDB/PMDB / PR / PP / PHS / PRB / PTB / PV;1.321;53,57 %
BARCARENA;20;VILAÇA;PSC/PSC / PMDB / PT / PTB / PT do B / PV / PMN / PRTB / PTN / PR / DEM / PSB;36.055;97,65 %
BELÉM;45;* ZENALDO COUTINHO;PSDB/PSL / PSC / PSB / PMN / PEN / PR / PTC / PTN / PT do B / DEM / PRP / PSDC / PTB / SD / PSDB;241.166;31,02 %
BELÉM;50;* EDMILSON;PSOL/PDT / PSOL / PPL / PV;229.343;29,50 %
BELTERRA;25;DR.MACÊDO;DEM/DEM / PRTB / PV / PDT / PMN / PT do B / SD / PSD / PP / PPS / PTC / PHS / PSDC / PSDB / PSC;7.719;62,45 %
BENEVIDES;15;RONIE SILVA;PMDB/PRB / PP / PT / PTB / PMDB / PTN / PR / PHS / PMB / PV / PC do B / PT do B / PSB;14.835;45,10 %
BOM JESUS DO TOCANTINS;20;JOÃOZINHO ROCHA;PSC/PSC / PPS / PROS / PSB / PRTB;4.461;52,90 %
BONITO;22;SILVIO MAURO;PR/PR / PSD / PMDB / PC do B / PRTB;4.352;43,16 %
BRAGANÇA;45;RAIMUNDÃO;PSDB/PSDB / DEM / PC do B / PSD / PMN / PROS / PT do B / PEN;27.437;43,10 %
BRASIL NOVO;13;ALEXANDRE;PT/PT / PR / PROS / PPS;5.525;51,05 %
BREJO GRANDE DO ARAGUAIA;12;BAXIM;PDT/PDT / PSC / PPS / DEM / PSB / SD / PSDB / PSD;3.353;63,79 %
BREU BRANCO;55;DIEGO DO ALEMÃO;PSD/PSD / PEN / PRTB / PV / PTB / DEM / PR / PSDC;10.916;46,57 %
BREVES;15;TONINHO BARBOSA;PMDB/PMDB / PSB / PRTB / PMB / SD / PTB / PHS / PPS / PTC / PRB / PT do B;17.268;38,05 %
BUJARU;20;MIGUEL JUNIOR;PSC/PSC / PEN;4.863;41,95 %
CACHOEIRA DO ARARI;15;JAIME;PMDB/PMDB / PRB / PDT / PT / PPS / PC do B / PROS;6.260;45,12 %
CACHOEIRA DO PIRIÁ;22;LEONARDO VALE;PR/PR / PMDB / PSDB / DEM / PT do B / PSD / PROS;5.610;52,31 %
CAMETÁ;25;WALDOLI VALENTE;DEM/PSDB / PSD / PP / PTB / PDT / PPS / PEN / PRP / DEM;31.619;44,09 %
