Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
ABREU E LIMA;40;PR. MARCOS JOSÉ;PSB/PRTB / PEN / PROS / PSL / REDE / PSDC / PRP / PC do B / PSB / PSD;21.839;36,98 %
AFOGADOS DA INGAZEIRA;40;PATRIOTA;PSB/PMDB / PPS / PR / PSD / REDE / PSB / PEN / PSDC / DEM / PC do B / PP / PRTB / PSDB / PSL / PTC / PV / SD;15.639;83,25 %
AFRÂNIO;15;DR. RAFAEL;PMDB/PMDB / PSB / PT;7.814;57,88 %
AGRESTINA;15;THIAGO NUNES;PMDB/PMDB / PSDB / PPS / PRB / PP / PDT / PR / PTB / PSD / PC do B / REDE / SD;8.997;55,80 %
ÁGUA PRETA;40;EDUARDO COUTINHO;PSB/PSB / PSD / PEN / PTN / PMDB;7.324;43,49 %
ÁGUAS BELAS;13;LUIZ AROLDO;PT/PT / PSD;11.978;53,89 %
ALAGOINHA;40;UILAS LEAL;PSB/PSB / PRB / PT;6.082;62,86 %
ALIANÇA;55;XISTO FREITAS;PSD/PT / PTB / PTN / PSC / DEM / PSB / PSD;11.017;52,36 %
ALTINHO;40;ORLANDO JOSÉ;PSB/PSB / DEM / PTB / PPS / PC do B;7.572;57,81 %
AMARAJI;40;JUNINHO GOUVEIA;PSB/PSB / PRB / PTB / PMDB / PDT / PTC / PC do B / PV / PHS / DEM / PRP;5.877;100,00 %
ANGELIM;40;DOUGLAS DUARTE;PSB/PSB / PT / PC do B / PTB / PR;3.416;52,19 %
ARAÇOIABA;12;JOAMY;PDT/PTB / PDT / PSDB / PEN / PSB / PSD / PSDC;6.616;50,98 %
ARARIPINA;17;RAIMUNDO PIMENTEL;PSL/PSL / PSDB / PTB / PRTB / PT / PPS / PTC / PRP / PEN / PSD / PC do B;18.332;43,08 %
ARCOVERDE;40;MADALENA BRITTO;PSB/PP / PSB / PC do B / PTC / PV / PHS / PRTB / SD / PSD / PMDB / PMB / PDT / DEM / PSDC / PRP / PR;21.103;60,73 %
BARRA DE GUABIRABA;77;DR. WILSON;SD/SD / PTC / PDT / DEM / PRTB / PV / PRP / PSD / PSDB;4.210;50,80 %
BARREIROS;12;ELIMARIO;PDT/PDT / PSC / PPS / PSDC / PHS / PTC / PEN / PROS / PRP;10.459;44,79 %
BELÉM DE MARIA;14;ROLPH JR;PTB/PTB / PR / DEM / PTC / PV / SD;3.829;51,49 %
