Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
ACAUÃ;55;MOLÃO;PSD/PSD / PR / PT / SD / PV;2.541;51,52 %
AGRICOLÂNDIA;11;WALTER ALENCAR;PP/PP / PRTB / PMDB / PDT / PRB / PSD / PTB;3.309;79,54 %
ÁGUA BRANCA;55;JONAS;PSD/PSD / PMB / PV / PDT / PR / PRTB / SD / PRB / PMDB / DEM / PT do B / PSC;6.354;51,61 %
ALAGOINHA DO PIAUÍ;13;JORISMAR;PT/PT / PMDB / PRTB / PC do B / PRP;2.597;51,06 %
ALEGRETE DO PIAUÍ;13;MARCIO ALENCAR;PT/PT / PRTB / PP / PV / PSB / PSC / REDE / PROS / PMN / PC do B / SD;1.956;53,04 %
ALTO LONGÁ;55;HENRIQUE CESAR;PSD/PSD / PP / PTB / PV / PT / PDT / PSDB / PSC / DEM / PSB;5.299;53,63 %
ALTOS;13;PATRICIA LEAL;PT/PT / PP / PPS / PSC / PV / DEM / PSL / PROS / PR;17.175;70,48 %
ALVORADA DO GURGUÉIA;15;LUIS MARTINS;PMDB/PMDB / PTB;1.969;55,89 %
AMARANTE;11;DIEGO TEIXEIRA;PP/PP / PEN / PR / PSB / PV / DEM / PSC / REDE;5.225;45,06 %
ANGICAL DO PIAUÍ;22;NETA SANTOS;PR/PSDB / PSB / PSD / PR / PMDB / PTB / PRB / PP / PRTB / PRP / PTC;3.112;59,03 %
ANÍSIO DE ABREU;12;RAIMUNDO NEI;PDT/PP / PDT / PT / PTB / PMDB / PRP;2.938;54,11 %
ANTÔNIO ALMEIDA;40;JB;PSB/PSB / PT / PDT / PMDB / PSDB;1.392;56,52 %
AROAZES;14;TOMÉ;PTB/PTB / PP / PRB / PT / PSL / PSC / PTC / PC do B;2.506;56,49 %
AROEIRAS DO ITAIM;14;WESLEY DE DEUS;PTB/PTB / PT / PR;1.577;53,17 %
ARRAIAL;12;NUMAS PORTO;PDT/PSDB / PDT / PR / PC do B;1.731;52,74 %
ASSUNÇÃO DO PIAUÍ;55;NETINHO;PSD/PSD / PMDB;2.699;53,55 %
AVELINO LOPES;11;DIOSTENES;PP/PRB / PRTB / PTB / PT / PMN / PP;3.784;53,07 %
BAIXA GRANDE DO RIBEIRO;40;OZIRES CASTRO;PSB/PP / PMDB / PSC / PPS / PHS / PSB / PRP / PSDB / PC do B;4.165;53,76 %
BARRA D'ALCÂNTARA;11;CLAUDISON BRITO;PP/PP / PMDB / PTC;1.532;55,93 %
BARRAS;14;CARLOS MONTE;PTB/PTB / PTC / PRB / PROS / PPS / PT / PR / PMB / PP / PRP;14.299;52,21 %
BARREIRAS DO PIAUÍ;40;MAURICIN;PSB/PT / PR / PPS / PHS / PSB;1.463;53,71 %
BARRO DURO;40;DR DEUSDETE;PSB/PSB / PSC / DEM / PMDB / PR / PDT / PTN;2.038;42,59 %
BATALHA;11;JOÃO MESSIAS;PP/PP / PMDB / PC do B / DEM / PHS / PSDB;7.348;45,16 %
BELA VISTA DO PIAUÍ;14;ELOISIO COELHO;PTB/PTB / PC do B;1.453;50,05 %
BELÉM DO PIAUÍ;15;ADEMAR;PMDB/PMDB / PSB / PSDB / PDT / PT / PSD / PP / PC do B;1.814;76,51 %
BENEDITINOS;45;JULLYVAN MENDES;PSDB/PSDB / PP / PTB / PPS / PRB / PTC / PSC;4.061;55,20 %
BERTOLÍNIA;13;LUCIANO FONSECA;PT/PT / PRB / PMB / PROS / PDT / PR / PSC;2.204;55,47 %
BETÂNIA DO PIAUÍ;11;FABIO;PP/PP / PHS / PTC / PSB;3.137;69,96 %
BOA HORA;55;FRANCIEUDO;PSD/PSD / PMDB / PSC / PRB / PSDB;2.505;53,20 %
BOCAINA;40;ERIVELTO BARROS;PSB/PSB / PRTB / PHS / PR;2.772;56,10 %
BOM JESUS;45;MARCOS;PSDB/PSDB / PSD / PMDB / DEM / PTB / PSL / PMB / PRB / PDT / PV;7.767;57,84 %
BOM PRINCÍPIO DO PIAUÍ;27;APOLINARIO;PSDC/PR / PSDC / PT;3.802;80,65 %
BONFIM DO PIAUÍ;55;PAULÃO;PSD/PRB / PTB / PMDB / PSD;1.935;47,25 %
BOQUEIRÃO DO PIAUÍ;13;SOLTEIRO;PT/PT / PDT / PTB / PR / PSB / PV;2.571;60,94 %
BRASILEIRA;55;PAULA ARAUJO;PSD/PT / PMDB / PSB / PSDB / PSD;2.891;50,07 %
BREJO DO PIAUÍ;36;ETINHO;PTC/PP / PSD / PR / PTC;2.176;75,50 %
BURITI DOS LOPES;14;JUNIOR PERCY;PTB/PRB / PDT / PTB / PMDB / PR / PPS / PC do B;7.052;55,23 %
BURITI DOS MONTES;55;VALMI SOARES;PSD/PSD / PTB / PP / PMDB / PPS / PSDB;2.800;57,63 %
CABECEIRAS DO PIAUÍ;11;DR. JOSÉ JOAQUIM;PP/PP / PMDB / PTB / PSD / PSDB / PPS;4.198;56,21 %
CAJAZEIRAS DO PIAUÍ;13;ALDEMAR;PT/PSB / SD / PT / PRB / PC do B / PTB / PRTB;1.409;53,09 %
CAJUEIRO DA PRAIA;10;DR. GIRVALDO;PRB/PRB / SD / PMDB / PR / PDT;2.629;50,51 %
CALDEIRÃO GRANDE DO PIAUÍ;40;VIANNEY;PSB/PSB / PDT / PT / PMDB / PHS / PSDB / PSD / PP;3.039;75,24 %
CAMPINAS DO PIAUÍ;28;NEIM;PRTB/PRTB / PP / PSB / SD;2.192;52,97 %
CAMPO ALEGRE DO FIDALGO;14;ISRAEL DA MATA;PTB/PTB / PRP / PSDB / PSD / PDT / PSC / PR / PTC / PC do B / DEM / PT;1.947;53,96 %
CAMPO GRANDE DO PIAUÍ;15;BAIÁ;PMDB/PMDB / PTB / PT / PSB;2.206;52,44 %
CAMPO LARGO DO PIAUÍ;15;ROMULO;PMDB/PMDB / PV / PRTB / PSD / PTC / PRB / PRP;2.535;58,84 %
CAMPO MAIOR;13;PROFESSOR RIBINHA;PT/PT / PRB / PSL / REDE / PTN / PMB / PV / PRP / PPL / PC do B / PT do B / SD / PROS;14.264;51,63 %
CANAVIEIRA;13;JOAN ROCHA;PT/PT / PTB / PRB / PTN / PR;1.510;54,43 %
CANTO DO BURITI;11;MARQUINHOS;PP/PP / PTB / PHS;6.039;50,33 %
CAPITÃO DE CAMPOS;40;TIM MEDEIROS;PSB/PT / PSB / PSDB / DEM / PSD;3.761;50,89 %
CAPITÃO GERVÁSIO OLIVEIRA;90;GABRIELA COELHO;PROS/PRB / SD / PSB / PC do B / PT / PV / PSDB / PRP / PMDB / PROS;1.499;53,52 %
