Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
ACARI;15;ISAIAS CABRAL;PMDB/PMDB / DEM / PROS / PC do B / SD / PSB;4.123;52,42 %
AFONSO BEZERRA;15;CHICO BERTULEZA;PMDB/PMDB / PSB / PR / DEM / PSDC / PT;4.291;52,58 %
ÁGUA NOVA;15;RAFAELA CARVALHO;PMDB/PMDB / PP / PSD;1.239;54,82 %
ALEXANDRIA;55;JEANE FERREIRA;PSD/PSC / DEM / PSB / PSD / PMB / SD / PR / PROS / PP / PMDB;4.610;52,08 %
ALMINO AFONSO;15;WALDÊNIO AMORIM;PMDB/PMDB / PSDB;2.826;66,53 %
ALTO DO RODRIGUES;25;ABELARDO RODRIGUES;DEM/DEM / PMDB / PR / PSB / SD / PROS / PEN / PRB;5.209;53,44 %
ANGICOS;45;DEUSDETE;PSDB/PSDB / PMDB / PDT / PR;3.770;88,48 %
ANTÔNIO MARTINS;28;JOAO VENANCIO;PRTB/PRTB / PMDB / PR / PC do B;2.062;100,00 %
APODI;15;ALAN;PMDB/PPS / PMDB / PTB / PTN / PSC / PRB / PR / PSDC / PSDB / PV;12.623;52,58 %
AREIA BRANCA;55;IRANEIDE;PSD/PTC / PSD / PR / DEM / PROS / PT do B / PSB;8.388;48,16 %
ARÊS;55;BRÁULIO CUNHA;PSD/PSD / PT / PPS / DEM / PSB / PROS;4.988;52,08 %
ASSÚ;22;DR GUSTAVO;PR/PMDB / PR / PDT / PRB / PT do B / PPS / PSC / PTN / SD / PSDB / PP / DEM / PHS;18.217;51,76 %
BAÍA FORMOSA;55;ADEILSON;PSD/PTN / PP / PSB / PSDB / PSD / SD / PC do B / PROS;3.291;55,18 %
BARAÚNA;22;LUCIA DE ALDIVON;PR/PT / PTB / PMDB / PR / PMB / PSB / PC do B;6.403;40,33 %
BARCELONA;65;NETO MAFRA;PC do B/PC do B / PSDB / PSD / PSB / PDT / PT / PSDC;2.069;53,16 %
BENTO FERNANDES;15;JUNIOR MARQUES;PMDB/PMDB / PSD / PP / PV / PDT / DEM / PEN / PHS;2.502;59,11 %
BOA SAÚDE;22;EDICE;PR/PDT / PMDB / DEM / PRB / PR / PC do B / PTN;3.086;50,06 %
BODÓ;55;MARCELO FILHO;PSD/PSD / PP / PV / PSB / PRB / PTB;1.544;56,54 %
BOM JESUS;22;CLECIO AZEVEDO;PR/PR / PP / PTN / PSC / DEM / PMDB / PSB;3.587;56,60 %
BREJINHO;55;DRA IVETE MATIAS;PSD/PR / DEM / PT / PMB / PSDB / PSD;2.872;89,19 %
CAIÇARA DO NORTE;77;AMARILDINHO;SD/SD / PT / PSB / PP / PSDC / PTN / PR;2.698;59,51 %
CAIÇARA DO RIO DO VENTO;15;FELIPINHO;PMDB/PMDB / PTN / PP / SD;1.964;56,53 %
CAICÓ;45;BATATA;PSDB/PSDB / PP / PRB / PRP / PTC / PSL / PSDC / REDE / SD;12.687;37,12 %
CAMPO GRANDE;25;MANOEL VERAS;DEM/DEM / SD / PPL / PSB / PSD;3.459;50,37 %
CAMPO REDONDO;90;DR ALESSANDRU;PROS/PT / PMDB / PTN / PSC / DEM / PSDB / PSD / PC do B / SD / PROS;4.091;61,89 %
CANGUARETAMA;15;FATIMA MARINHO;PMDB/PMDB / PTN / PHS / PRB / PDT / PSB / PRP / SD / PROS / PRTB / PTB;9.817;50,67 %
CARAÚBAS;55;JUNINHO ALVES;PSD/PSD / DEM / PP / PDT / PSC / PTN / PMB / PC do B / SD / PSDB / PTC;8.053;51,34 %
CARNAÚBA DOS DANTAS;15;GILSON DANTAS;PMDB/PROS / PMDB / PV / PSB;3.182;60,59 %
CARNAUBAIS;45;DR THIAGO;PSDB/PSDB / DEM / PR / PHS / SD;3.173;42,49 %
CEARÁ-MIRIM;45;MARCONI BARRETTO;PSDB/PSDB / PEN;22.860;55,87 %
CERRO CORÁ;55;GRAÇA;PSD/PPS / PTN / PEN / PTB / PSD / PT / PSB / PP;3.448;50,99 %
CORONEL EZEQUIEL;15;BOBA;PMDB/PMDB / PR / DEM;2.308;54,78 %
CORONEL JOÃO PESSOA;40;ANTONIO LOPES;PSB/PSB / PRB / PR / PRP / PSDB;2.123;63,87 %
CRUZETA;55;SALLY ARAÚJO;PSD/PSD / PSDB / PR / PTN / DEM / PDT / SD;3.284;53,77 %
CURRAIS NOVOS;13;ODON JR;PT/PT / PHS / PC do B;10.497;44,87 %
DOUTOR SEVERIANO;55;NERI;PSD/PSD / PMDB / DEM / SD / PSDC / REDE;2.536;55,30 %
ENCANTO;25;ATEVALDO;DEM/PMDB / DEM / PC do B / PT do B;2.253;100,00 %
EQUADOR;25;NOEIDE SABINO;DEM/DEM / PTN / PR / PSD;2.056;53,72 %
ESPÍRITO SANTO;45;FERNANDO TEIXEIRA;PSDB/PSDB / SD / PRB / PSDC / PMB / PEN / PDT / PMDB;3.241;55,12 %
EXTREMOZ;22;JOAZ;PR/PR / SD / PMB / PTN / PSB / PSDB / PRP / PT do B / PROS;8.998;50,51 %
FELIPE GUERRA;40;HAROLDO FERREIRA;PSB/PRB / PSDB / PV / DEM / PMN / PR / PSB / PHS / PMDB;3.466;55,27 %
FERNANDO PEDROZA;55;SANDRA DE GON;PSD/PRB / PDT / DEM / PT / PMN / PSDB / PEN / SD / PSD;1.620;57,51 %
FLORÂNIA;25;MÁRCIA NOBRE;DEM/DEM / PMDB / PR / PSD / PSDB / PEN;4.170;63,73 %
FRANCISCO DANTAS;55;ADOLFO SILVEIRA;PSD/PSD / DEM / PSB;1.560;64,38 %
FRUTUOSO GOMES;15;JANDA JÁCOME;PMDB/PMDB / PHS;2.374;73,11 %
GALINHOS;10;FABIO;PRB/PRB / PTB / PTN / PR / DEM / PMB / PSDB / SD / PROS;1.263;57,25 %
GOIANINHA;55;BERG LISBOA;PSD/PSD / PRB / PMDB / PTB;8.540;51,57 %
GOVERNADOR DIX-SEPT ROSADO;31;ANTONIO BOLOTA;PHS/PHS / PMDB / PROS / PT / PRB;5.030;52,73 %
GROSSOS;15;MAURICINHO;PMDB/PMDB / PTN / PDT / PR / DEM / PMN / PC do B / PT do B;2.774;38,30 %
GUAMARÉ;77;MOZANIEL;SD/SD / PV;5.294;100,00 %
IELMO MARINHO;55;SHEIK;PSD/PTN / PDT / PP / PEN / PSDB / PSD;2.587;91,97 %
IPANGUAÇU;45;VALDEREDO;PSDB/PHS / PMN / PSDB / PEN;5.735;57,04 %
IPUEIRA;15;GALEGO PAIVA;PMDB/PMDB / SD;736;42,62 %
ITAJÁ;55;ALAOR;PSD/PSD / PR / PP / DEM;3.124;56,37 %
ITAÚ;25;CIRO BEZERRA;DEM/PRB / PTN / PR / DEM / PEN;2.488;55,51 %
JAÇANÃ;50;OTON MARIO;PSOL/PSOL / PV;2.494;49,47 %
JANDAÍRA;15;MARINA;PMDB/PRB / PDT / PMDB / PPS / PMB / PEN;3.234;61,84 %
JANDUÍS;50;ZÉ BEZERRA;PSOL/PSOL / PC do B;2.181;55,17 %
