Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
ALTA FLORESTA DO OESTE;11;CARLOS BORGES;PP/PP / PSB / DEM / PTB / PSDB / PSD / PR / PC do B / PMN / PT / PSDC / PSC;9.553;72,42 %
ALTO ALEGRE DOS PARECIS;15;MARCÃO;PMDB/PMDB / PT / PSDC / PR / PMN;4.592;68,67 %
ALTO PARAÍSO;14;HELMA AMORIM;PTB/PDT / PT / PTB;4.544;67,73 %
ALVORADA DO OESTE;15;PROF. WALTER;PMDB/PMDB / PR / PSD / PSC / PRB / PSDC / PSDB / PSB / PT;5.180;61,23 %
ARIQUEMES;15;THIAGO FLORES;PMDB/PMDB / DEM / PSL / PPS / PHS / PMN / PTC / PRP / PEN / PT do B / PP / PROS / PSDC;26.808;58,10 %
BURITIS;12;RONI IRMAOZINHO;PDT/PDT / PSB;5.267;44,85 %
CABIXI;15;SILVENIO DE ALMEIDA;PMDB/PMDB / PT / PSDB / PSD / PR;1.868;50,13 %
CACAULÂNDIA;25;EDIR ALQUIERI;DEM/PRB / PP / PMDB / PTN / DEM / PV / PSDB / PSD / SD;2.178;69,99 %
CACOAL;15;GLAUCIONE;PMDB/PMDB / PSDC / PTN / PHS / PP / PTB / PV / SD / PSDB / PEN;19.715;44,90 %
CAMPO NOVO DE RONDÔNIA;77;OSCIMAR;SD/PRB / PP / PT / PTB / PR / PV / SD;2.561;39,36 %
CANDEIAS DO JAMARI;40;CHICO PERNAMBUCO;PSB/PSB / DEM / PTC;3.361;24,38 %
CASTANHEIRAS;45;ALCIDES DO SOM;PSDB/PSDB / PMDB / PDT / PTB / PSL / PSC / PR / PV / PT do B / SD / PSD;1.456;51,83 %
CEREJEIRAS;11;AIRTON GOMES;PP/PP / PROS / PV / PDT / PTB / PR / PHS / PSDB;6.421;100,00 %
CHUPINGUAIA;43;DRª. SHEILA;PV/PV / PSB / PT do B / PC do B / PSDB / PSDC / DEM / SD / PDT;2.004;41,65 %
COLORADO DO OESTE;40;PROFESSOR RIBAMAR;PSB/PRB / PMDB / PSB / PTN / PSC / PPS / PHS / PMN / PRP / PSDB / PSD;4.519;46,44 %
CORUMBIARA;12;LAERCIO;PDT/PT / PDT / PMN;2.206;46,27 %
COSTA MARQUES;33;MIRANDÃO;PMN/DEM / PHS / PMN / PP / PR / PRB / PROS / PT / PTC;2.775;42,67 %
CUJUBIM;12;PEDRO DA BELO HORIZONTE;PDT/PDT / PC do B / DEM / PSC / PV / PEN;3.649;46,13 %
ESPIGÃO DO OESTE;11;NILTON CAETANO;PP/PP / PSD / PSDB / PMDB / PSDC / PSC;10.402;61,51 %
GOVERNADOR JORGE TEIXEIRA;12;JOÃO PACIENCIA;PDT/PRB / PDT / PR / DEM / PV / PSDB / PSD / SD;2.461;41,25 %
GUAJARÁ-MIRIM;12;RODRIGO;PDT/PDT / PTB / PSB / PTC / PSD;7.370;72,78 %
ITAPUÃ DO OESTE;15;MOISES CAVALHEIRO;PMDB/PMDB / DEM / PRB;1.782;36,56 %
JARU;45;JOAO GONCALVES JR;PSDB/PSDB / PP / PSL / PMDB / PTB / PTN / PDT / PMN / PRP / PSB / PSC / PV / PSDC;21.497;78,06 %
JI-PARANÁ;40;JESUALDO;PSB/PSB / PDT / PTB / PMDB / PSC / PT / PSDB / PSD / PV / PTN / PROS / PEN / PHS / PC do B / PRP;40.613;65,30 %
MACHADINHO DO OESTE;31;LEOMAR PATRICIO;PHS/PHS / PRB / PPS / PT / PC do B / PEN / PMN / PTN / PT do B / PR / PSL;8.534;52,19 %
MINISTRO ANDREAZZA;15;ARNALDO;PMDB/PMDB / PDT / PTN / PSD;3.140;56,77 %
MIRANTE DA SERRA;15;ADINALDO DE ANDRADE;PMDB/PRB / PP / PMDB / PSB / PSDB / PEN;3.557;59,31 %
MONTE NEGRO;25;EVANDRO;DEM/PDT / DEM / SD;3.115;40,68 %
NOVA BRASILÂNDIA DO OESTE;11;HELIO MENDES;PP/PP / DEM / PPS / PT / SD;5.322;50,80 %
NOVA MAMORÉ;12;PROFESSOR CLAUDIONOR;PDT/PMDB / PDT / PP / PT / PTB / PPS / PHS / PMN / PSB / PV;9.886;76,26 %
NOVA UNIÃO;15;LUIZ GOMES;PMDB/PP / PDT / PMDB / PR / DEM / PMN / PSB / PV / PTB;2.067;49,20 %
NOVO HORIZONTE DO OESTE;15;PROF CLEITON CHEREGATTO;PMDB/PRB / PDT / PT / PMDB / PSDC / PSB;3.786;63,34 %
OURO PRETO DO OESTE;27;VAGNO PANISOLY;PSDC/PSDC / PSB / PRB;9.686;51,66 %
PARECIS;15;LUIZ AMARAL;PMDB/PMDB / PSDB / PDT / PTB / PSD;1.548;52,83 %
PIMENTA BUENO;40;JULIANA ROQUE;PSB/PSB / PSDC / PRB / PSD / PV / PMDB;8.890;47,11 %
PIMENTEIRAS DO OESTE;12;VINO;PDT/PDT / PMN / PP / PV;921;51,11 %
PORTO VELHO;45;* DR HILDON;PSDB/PSDB / PSDC;57.954;27,20 %
PORTO VELHO;14;* LÉO MORAES;PTB/PTB / PP / PRP / PTN / PROS / PSC / PPS;55.656;26,12 %
PRESIDENTE MÉDICI;45;EDILSON ALENCAR;PSDB/PSDB / PMDB / PP / PTB / PSC / DEM / PV / PSD / SD / PPS;6.340;53,42 %
PRIMAVERA DE RONDÔNIA;15;EDUARDO BERTOLETTI;PMDB/PRB / PP / PT / PTB / PMDB / SD;1.049;44,89 %
RIO CRESPO;22;LEZÃO;PR/PR / DEM / PRB / PSC / PPS / PSDB / PT;1.348;53,43 %
ROLIM DE MOURA;45;LUIZAO DO TRENTO;PSDB/PSD / PSDB / PRB / PT / PSDC / PP / PEN;8.236;37,84 %
SANTA LUZIA DO OESTE;11;NELSON DO POSTO;PP/PP / PT / PTB / PR;2.635;52,13 %
SÃO FELIPE DO OESTE;40;LÉO SILVA;PSB/PSB / DEM / PTN / PP / PR / PTB;1.949;49,53 %
SÃO FRANCISCO DO GUAPORÉ;15;GISLAINE LEBRINHA;PMDB/PMDB / PRB / PP / PDT / PTB / PTN / PR / PPS / DEM / PSB / PSD / PSDB / PV;6.658;82,88 %
SÃO MIGUEL DO GUAPORÉ;25;CORNELIO DUARTE;DEM/DEM / PSD / PROS / PP / PRB / PTN / PSDB;6.218;51,70 %
SERINGUEIRAS;12;LEONILDE GARDA;PDT/PDT / PV;3.025;42,50 %
TEIXEIRÓPOLIS;13;TONIN;PT/PSD / PT;1.993;62,55 %
THEOBROMA;14;ANTONIO NETO;PTB/PRB / PP / PT / PTB / PTN / PR / PSDC / PSB / PV / PSDB;2.850;100,00 %
URUPÁ;11;CELIO LANG;PP/PP / PV / PSDB / PR / PSD / PRP;4.281;61,51 %
VALE DO ANARI;11;ANILDO MADEIREIRO;PP/PSDC / PP / PT / PSD / PR / PSDB / PMN / PRB / PSC;3.006;60,33 %
VALE DO PARAÍSO;45;CHARLES;PSDB/PSDB / PDT / PTB / PMDB / PEN / PSB / PSD / PR;2.493;52,41 %
VILHENA;43;EDUARDO JAPONÊS;PV/PRB / PP / PDT / PT / PSC / PR / PTC / PV / PRP / PSDB / SD;16.822;92,61 %
