Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
ABDON BATISTA;15;LUCIMAR;PMDB/PMDB / PP / PSDB;1.169;53,06 %
ABELARDO LUZ;15;NERCI SANTIN;PMDB/PMDB / PSDB / PTB / PSC / PPS;6.617;61,89 %
AGROLÂNDIA;15;URBANO JOSE DALCANALE;PMDB/PR / PMDB / DEM / PSB;4.676;76,51 %
AGRONÔMICA;45;CESAR CUNHA;PSDB/PP / PSDB / PSD;1.965;53,57 %
ÁGUA DOCE;11;BISSANI;PP/PP / PSDB / PSD;1.982;41,63 %
ÁGUAS DE CHAPECÓ;45;CANICO;PSDB/PP / PDT / PR / PSDB / PSD;2.323;56,03 %
ÁGUAS FRIAS;55;RICARDO;PSD/PP / PT / PSD / PSDB;1.127;51,02 %
ÁGUAS MORNAS;15;OMERO PRIM;PMDB/PMDB / PSDB;2.768;56,35 %
ALFREDO WAGNER;15;NAUDIR ANTONIO SCHMITZ;PMDB/PMDB / PSB / PP / PT / PR;3.983;57,53 %
ALTO BELA VISTA;55;CATIA TESSMANN REICHERT;PSD/PT / PSDB / PSD;936;50,70 %
ANCHIETA;13;IVAN CANCI;PT/PT / PP / PR;2.493;57,27 %
ANGELINA;15;ZEBRA;PMDB/PMDB / PSDB;2.300;51,74 %
ANITA GARIBALDI;22;JOÃO CIDINEI;PR/PR / PMDB / PT / PSDB;4.021;68,23 %
ANITÁPOLIS;45;LAUDIR;PSDB/PSDB / PSD / PP / PSB;1.568;59,51 %
ANTÔNIO CARLOS;15;GERALDO;PMDB/PMDB / PRTB / PRB;4.100;59,12 %
APIÚNA;22;GERSON;PR/PT / PSDB / PSD / PSB / PR;3.684;51,16 %
ARABUTÃ;55;LEANI;PSD/PP / PR / DEM / PT / PSD;1.973;56,81 %
ARAQUARI;45;CLENILTON;PSDB/PDT / PRB / PSL / REDE / PR / DEM / PSB / PSDB;8.600;53,98 %
ARARANGUÁ;11;MARIANO MAZZUCO;PP/PP / PSD / PR / PV / SD / PRB / PSB / PSDB / PC do B / PEN / PSC;20.719;55,16 %
ARMAZÉM;11;ZÉ ARENT;PP/PP / PR / PSD / PPS / PSB;3.150;54,48 %
ARROIO TRINTA;11;CLAUDIO SPRICIGO;PP/PP / PT / PMDB / PPS;1.459;51,14 %
ARVOREDO;15;JANETE;PMDB/PP / PMDB / PR / PSD;1.156;53,69 %
ASCURRA;15;LAIRTON POSSAMAI;PMDB/PMDB / PSDB;2.143;41,32 %
ATALANTA;15;SASSÁ;PMDB/PMDB;1.368;52,31 %
AURORA;15;FUMO;PMDB/PMDB;2.350;54,39 %
BALNEÁRIO ARROIO DO SILVA;55;MINEIRO DA FARMÁCIA;PSD/PRB / PTB / PR / PPS / PSDB / PRP / PSD;4.615;57,17 %
BALNEÁRIO BARRA DO SUL;15;ADEMAR HENRIQUE BORGES;PMDB/PMDB / PSDB / PRB / PSC / PSD;3.752;47,51 %
BALNEÁRIO CAMBORIÚ;40;FABRICIO OLIVEIRA;PSB/PSB / PR / REDE / PTB / PT do B / PMB / PDT / PEN / PHS / PTC / SD / PROS;32.552;49,40 %
BALNEÁRIO GAIVOTA;11;RONALDO;PP/PP / PSD / PDT / PT / PPS / DEM / PTB / PR / PRB / PSB / PSC;3.497;53,20 %
BALNEÁRIO PIÇARRAS;45;LEONEL;PSDB/PRB / PSC / PRP / PSDB / PSD;6.363;51,47 %
BALNEÁRIO RINCÃO;15;JAIRO;PMDB/PMDB / PSD / PSB / PR / PRP / PRB / PEN / PSDB / PTC / PSC;5.271;58,11 %
BANDEIRANTE;13;BIEGELMEIER;PT/PT / PR / PSD;1.367;54,25 %
BARRA BONITA;55;MOACIR;PSD/PP / PT / PSDB / PSD;981;60,07 %
BARRA VELHA;25;VALTER ZIMMERMANN;DEM/DEM / PSD;6.351;39,65 %
BELA VISTA DO TOLDO;45;ADELMO ALBERTI;PSDB/PSDB / PSD / PT / PSC / PR / PSB;2.422;54,67 %
BELMONTE;55;GENÉSIO BRASSIANI;PSD/PP / PSD / PC do B;1.199;53,03 %
BENEDITO NOVO;11;JEAN MICHEL GRUNDMANN;PP/PP / PT / PSD / PPS;3.707;53,30 %
BIGUAÇU;55;RAMON;PSD/PP / DEM / PSC / PSD / PSB / PR / PV;17.618;47,24 %
BLUMENAU;45;* NAPOLEÃO BERNARDES;PSDB/PSDB / PSB / PRP / PT do B / PMDB / PV / PP / DEM / PTC / SD / PMB / PTB;81.050;44,81 %
BLUMENAU;55;* JEAN KUHLMANN;PSD/PSD / PRB / PSL / PR / PSC / PROS / PPS;63.411;35,06 %
BOCAINA DO SUL;15;LUIZ;PMDB/PP / PRB / PMDB / PPS / DEM / PSD;1.510;52,16 %
BOMBINHAS;12;PAULINHA;PDT/PDT / PTB / PMDB / PSD / PSB / PPS / PP / PRB / PRP / DEM / PR / PSL / PSDC / PEN / PSC;7.802;72,92 %
BOM JARDIM DA SERRA;55;CRISTIANO CARDOSO DA SILVA;PSD/PP / PT / PMDB / PSD;1.518;100,00 %
BOM JESUS;11;RAFAEL CALZA;PP/PP / PSD / PR / PSB / PC do B;1.189;52,77 %
BOM JESUS DO OESTE;55;RONALDO SENGER;PSD/PSD / PSDB / PP / PR;944;54,07 %
BOM RETIRO;11;VILMAR NECKEL "ALEMÃO";PP/PP / PT / PSD / PR;3.060;55,28 %
BOTUVERÁ;15;NENE COLOMBI;PMDB/PRB / PMDB / DEM;2.175;57,22 %
BRAÇO DO NORTE;55;BETO;PSD/PRB / PP / PSC / PR / PT / PSD / PSDB / DEM;12.687;64,33 %
BRAÇO DO TROMBUDO;15;COLORIDO;PMDB/PMDB / PR;1.926;64,63 %
BRUNÓPOLIS;55;ADEMIL;PSD/PDT / PR / DEM / PSD;1.440;51,89 %
BRUSQUE;40;DR JONAS;PSB/PSB / PMDB / PPS;25.171;40,47 %
CAÇADOR;45;SAULO SPEROTTO;PSDB/PSDB / DEM / PSD / PPS / PTC / SD / PRB;24.504;63,40 %
CAIBI;15;ELOI JOSE LIBANO;PMDB/PMDB / PT;2.744;100,00 %
CALMON;11;PROFº PEDRO;PP/PP / PMDB / PSD / PTC / PSDB / PT;1.679;55,39 %
CAMBORIÚ;15;DR ELCIO;PMDB/PMDB / PP / PSC / PC do B / PSDC / PT / PTC / REDE;16.107;48,62 %
CAMPO ALEGRE;55;RUBENS;PSD/PP / DEM / PR / PSD / PSB;4.366;55,33 %
CAMPO BELO DO SUL;15;PADRE EDILSON;PMDB/PMDB / PR / PPS / DEM / PSD;2.698;52,22 %
CAMPO ERÊ;55;ODILSON LIMA;PSD/PDT / PR / DEM / PSDB / PSD / PC do B / SD;2.973;48,85 %
CAMPOS NOVOS;55;ZANCANARO;PSD/PP / PDT / PT / PTN / PRB / PR / PSD / PC do B;11.826;57,70 %
CANELINHA;15;MOACIR;PMDB/PMDB / PRB / PT / PSB;4.040;51,37 %
CANOINHAS;55;BETO PASSOS;PSD/PR / PTB / PRB / PP / SD / PPS / PSDC / PSD;16.384;50,62 %
CAPÃO ALTO;11;TITO FREITAS;PP/PMDB / PP;1.517;54,90 %
CAPINZAL;15;DORINI;PMDB/PMDB / PR / SD / PRB;7.640;57,67 %
CAPIVARI DE BAIXO;40;NIVALDO SOUSA;PSB/PSB / PR / PPS / PDT;7.143;50,36 %
CATANDUVAS;15;DORIVAL;PMDB/PMDB / PR / PPS;3.464;55,05 %
CAXAMBU DO SUL;13;GLAUBER BURTET;PT/PT / PDT / PSD / PSDB;2.255;54,32 %
CELSO RAMOS;45;ONDINO;PSDB/PSDB / DEM / PT / PR / PPS;1.180;50,45 %
CERRO NEGRO;11;ADEMILSON CONRADO;PP/PP / PT / PSDB / PPS;1.596;56,08 %
CHAPADÃO DO LAGEADO;15;MARLI;PMDB/PMDB / PSDB / PSD;1.160;50,59 %
CHAPECÓ;40;LUCIANO BULIGON;PSB/PSB / PR / PSD / PSDB / DEM / PTB / PSL / PRB / PMN / PP / PROS / PEN / SD;66.107;61,74 %
COCAL DO SUL;11;ADEMIR;PP/PP / PSD / PDT / PT / PSB;7.038;63,56 %
CONCÓRDIA;45;ROGÉRIO PACHECO;PSDB/PSDB / PR / PP / PSB / PSDC;20.363;45,71 %
CORDILHEIRA ALTA;15;PICASSO;PMDB/PMDB / PSD / PSDB / PT / PP / PSB;2.253;100,00 %
CORONEL FREITAS;15;IZEU;PMDB/PMDB / PDT / PR / PSC / PC do B / DEM / PTB / PT;3.750;53,08 %
CORONEL MARTINS;13;ADE;PT/PT;980;49,45 %
CORREIA PINTO;11;CELSO ROGERIO;PP/PP / PSD / PSB / DEM;5.644;56,16 %
CORUPÁ;11;JOÃO GOTTARDI;PP/PP;4.904;52,06 %
CRICIÚMA;45;CLESIO SALVARO;PSDB/PSDB / SD / DEM / PV;82.959;75,87 %
CUNHA PORÃ;15;PASTOR JAIRO;PMDB/PMDB / PDT / PT;3.752;50,60 %
CUNHATAÍ;15;LÚCIO;PMDB/PMDB / PT;915;55,49 %
CURITIBANOS;15;DUDÃO;PMDB/PMDB / PRB / PP / SD / PPS / PR / PSC / DEM / PSDB / PSD;14.904;74,45 %
DESCANSO;13;SADI INACIO BONAMIGO;PT/PT / PSDB / PC do B / PSB;3.069;51,47 %
DIONÍSIO CERQUEIRA;15;THYAGO;PMDB/PMDB / PR / PP / DEM / PPS / PDT;5.305;56,90 %
DONA EMMA;15;NERCI BARP;PMDB/PP / PMDB / PPS / PDT / DEM;1.419;50,11 %
DOUTOR PEDRINHO;15;SIMONI;PMDB/PMDB;1.376;52,28 %
ENTRE RIOS;11;JURANDI DELL OSBEL;PP/PP / PSDB / PSD / PC do B / PRB / PSB / PR;1.465;55,64 %
ERMO;55;ZICA;PSD/PSD / PMDB / PP / DEM;1.262;50,18 %
ERVAL VELHO;15;JUNIOR;PMDB/PMDB / DEM / PSDB;1.735;49,49 %
FAXINAL DOS GUEDES;15;BETI;PMDB/PMDB / PRB;3.670;52,68 %
FLOR DO SERTÃO;55;SIDI;PSD/PT / PSD;865;54,44 %
FLORIANÓPOLIS;15;* GEAN LOUREIRO;PMDB/PMDB / PSDB / DEM / PDT / PRB / PRTB / PSC / PTB / PTN / SD / PR / PRP / PPS / PPL / PTC;100.214;40,39 %
FLORIANÓPOLIS;11;* ANGELA AMIN;PP/PP / PSD;60.959;24,57 %
FORMOSA DO SUL;13;RUDIMAR CONTE;PT/PP / PT / PDT / PPS;1.099;50,88 %
FORQUILHINHA;11;DIMAS KAMMER;PP/PP / PT / PMDB / PSC / PSB;8.100;50,59 %
FRAIBURGO;23;CLAUDETE GHELLER MATHIAS;PPS/PPS / PSD / PRB / PTB / PSB;7.211;34,27 %
FREI ROGÉRIO;11;JAIR;PP/PP / PR;1.080;52,89 %
GALVÃO;22;ADE;PR/PR / PT;1.217;46,31 %
GAROPABA;55;SERGIO CUNHA;PSD/PMDB / PSB / PR / PPS / PROS / PRP / PSC / PT / PTB / PSD;6.828;50,05 %
GARUVA;15;DR. RODRIGO;PMDB/PMDB / PDT / PR / PTC / PPS;4.385;48,31 %
GASPAR;15;KLEBER WAN-DALL;PMDB/PP / PMDB / PTB / PSC / PSDC;13.290;37,39 %
GOVERNADOR CELSO RAMOS;55;JULIANO;PSD/DEM / PSD / PRB / PRP / PDT / PR / PSDB / PPS;6.874;59,58 %
GRÃO-PARÁ;55;MARCINHO;PSD/PP / PDT / PSC / DEM / PSD;2.770;52,84 %
GRAVATAL;15;VARDO;PMDB/PMDB;3.759;49,63 %
GUABIRUBA;11;MATIAS;PP/PP / PT;6.396;50,37 %
GUARACIABA;55;ROQUE MENEGHINI;PSD/PSDB / PSD / PMDB / PP;4.270;56,22 %
GUARAMIRIM;11;PROF. CHIODINI;PP/PP / DEM / PSDB / PRB;10.957;48,17 %
GUARUJÁ DO SUL;13;CLAUDINHO;PT/PT;1.642;48,08 %
GUATAMBÚ;45;LUIZ CLOVIS;PSDB/PMDB / PP / PDT / PSDB / SD;3.122;66,16 %
HERVAL D'OESTE;22;LORINI;PR/PR / PSB / PP;7.180;55,68 %
IBIAM;11;IVO;PP/PP / PPS / PDT / PT;643;38,14 %
IBICARÉ;15;GIAN;PMDB/PP / PMDB / PR / PDT / PSDB / PSD;1.629;60,00 %
IBIRAMA;15;ADRIANO POFFO / POFFO /POFINHO;PMDB/PMDB / PPS;4.670;40,87 %
IÇARA;15;MURIALDO;PMDB/PMDB / PSDB / PSD / PSC / PDT / PT / PRP / PC do B;18.991;61,63 %
ILHOTA;15;DIDA;PMDB/PMDB / DEM / PPS / PSDB;5.550;64,22 %
IMARUÍ;55;RUI JOSÉ;PSD/PMDB / PSD / PP / PSDB;3.666;72,14 %
IMBITUBA;13;ROSENVALDO JUNIOR;PT/PT / PMDB / PDT / PTB / PPS;16.336;62,24 %
IMBUIA;15;JOÃO SCHWAMBACH;PMDB/PP / PMDB / PT / PSD;2.357;56,85 %
INDAIAL;45;ANDRÉ MOSER;PSDB/PRB / PSDB / PSD;14.001;42,40 %
IOMERÊ;15;LUCIANO PAGANINI;PMDB/PMDB / PT;1.364;52,64 %
IPIRA;13;EMERSON REICHERT;PT/PT / PMDB / PC do B;2.116;62,18 %
IPORÃ DO OESTE;15;LÚCIO MALLMANN;PMDB/PMDB / PSDB / PR;2.591;42,03 %
