Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
ABREULÂNDIA;43;MARIVALDO MACHALEGRE;PV/PV / PR;857;48,56 %
AGUIARNÓPOLIS;10;IVAN;PRB/PRB / PDT / PMDB / PR / PSB / PSD / PT / PTB;1.948;60,24 %
ALIANÇA DO TOCANTINS;17;CORONEL TAVARES;PSL/PSL / PR / SD / PV;1.981;59,70 %
ALMAS;15;VAGUINHO;PMDB/PMDB / PDT / PRB / PT / PPS;2.781;70,19 %
ALVORADA;55;PAULO ANTONIO;PSD/PT / PSD / PSDC;2.849;53,56 %
ANANÁS;27;VALBER SARAIVA;PSDC/PSDC / SD / PDT / PT / PMDB / PSB / PPS / DEM / PSD / PP / PRB / PRTB / PTB;3.200;56,01 %
ANGICO;11;NEGO D'ÁGUA;PP/PP / DEM / PRB / PSB / PSDB / PTB / PDT / PHS / PROS / PSD / PSL;1.255;53,70 %
APARECIDA DO RIO NEGRO;55;DEUSIMAR;PSD/PSD / PPL / PP / PSDB / PMN / PSB / PPS / PRB / PSL / PSC / SD / PROS / REDE;2.062;65,21 %
ARAGOMINAS;11;PROFESSORA ELIETE;PP/PP / PT / PSL / PSC / PDT;2.141;59,54 %
ARAGUACEMA;15;ISABELLA SIMAS;PMDB/PSD / PV / PTB / SD / PRP / PMDB;2.158;56,01 %
ARAGUAÇU;10;KINCA NUNES;PRB/PRB / PDT / PR / PMDB / PHS / PSD / PT / PPS / PMN;3.085;58,31 %
ARAGUAÍNA;22;RONALDO DIMAS;PR/PR / PRTB / PRP / PSB / PTN / PROS / SD / PDT / PSD / PC do B / DEM / PT;32.522;40,72 %
ARAGUANÃ;55;FERNANDO DO OSMAR;PSD/PP / PDT / PSC / PPS / PV / PPL / PSD / DEM / PEN / PSB / PTN;2.089;66,36 %
ARAGUATINS;15;CLAUDIO SANTANA;PMDB/PMDB / PP / PMB / PSD / PTB / PTC / PHS / PROS;5.881;37,64 %
ARAPOEMA;55;PROFESSORA LU;PSD/PSD / PSDB / PV;1.304;33,90 %
ARRAIAS;55;WAGNER GENTIL;PSD/PSD / PDT / PTN / PT / PSDC;2.969;49,29 %
AUGUSTINÓPOLIS;10;JULIO OLIVEIRA;PRB/PRB / PT / PPS / PDT / DEM / PSC / SD;4.913;53,27 %
AURORA DO TOCANTINS;14;CAÇULA;PTB/PTB / PSD / PDT / PR / PSDB / SD;1.305;50,58 %
AXIXÁ DO TOCANTINS;15;DAMIÃO CASTRO;PMDB/PMDB / PT / PPS / PRP / PHS / SD / PSL;3.554;51,11 %
BABAÇULÂNDIA;15;ALENO;PMDB/PMDB / PROS / PV / PHS / PTN / PSC / PSDC;2.565;46,51 %
BANDEIRANTES DO TOCANTINS;11;ZÉ MÁRIO;PP/PP / PSDB / SD / PSB / DEM;830;36,55 %
