Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
ANGRA DOS REIS;15;FERNANDO JORDÃO;PMDB/PMDB / PP / SD / PMN / PTN / PROS / PTB / PSB / PSC / PEN / PHS / PPL / PSL / PMB;75.517;82,05 %
APERIBÉ;11;DEZOITO;PP/PDT / PMDB / PP / PPS / PR / PSD / PT / PT do B / SD;3.823;51,30 %
ARARUAMA;12;LÍVIA DE CHIQUINHO;PDT/PRB / PT do B / PDT / SD / PR / PPS / PSL;34.253;86,13 %
AREAL;14;FLÁVIO DO AÇOUGUE;PTB/PMDB / PR / PV / PC do B / SD / PTB / DEM / PSC / PSB / PSDB;4.963;93,64 %
ARMAÇÃO DOS BÚZIOS;10;ALEXANDRE MARTINS;PRB/PT do B / PSB / PC do B / PV / PRB / PROS;4.738;51,08 %
ARRAIAL DO CABO;12;JOSE BONIFÁCIO;PDT/PDT;2.170;67,81 %
BARRA DO PIRAÍ;10;MARIO ESTEVES;PRB/PRB / REDE / PTN / PRTB / PC do B / PT do B / SD / PROS;20.856;41,19 %
BARRA MANSA;15;RODRIGO DRABLE;PMDB/PMDB / PSC / PSB / PRTB / PTB / PTN / PDT / PHS / PPS / SD;39.169;43,46 %
BELFORD ROXO;15;WAGUINHO;PMDB/PMDB / PSL / PRB / PDT / PR / PT / PV / PRTB / PTN / PSC / PPS / PPL;102.777;72,46 %
BOM JARDIM;40;ANTONIO GONÇALVES;PSB/PSB / PC do B / PSDB / SD;9.794;60,98 %
BOM JESUS DO ITABAPOANA;22;ROBERTO TATU;PR/PR / PPS / SD / PTB / PT / PDT / PSDB / PEN / PSD / DEM / PV;10.895;49,02 %
CABO FRIO;18;DR. ADRIANO;REDE/REDE / PRP / PPL / PTC;23.287;39,60 %
CACHOEIRAS DE MACACU;40;MAURO SOARES;PSB/PP / PT / PRB / REDE / PHS / PSB / PRP / PEN / PC do B / PT do B / PROS / PSD;18.574;81,42 %
CAMBUCI;15;AGNALDINHO;PMDB/PMDB / PT / PTB / PRTB / PV / PT do B;3.653;35,65 %
CAMPOS DOS GOYTACAZES;23;RAFAEL DINIZ;PPS/REDE / PPS / PV;151.462;55,19 %
CANTAGALO;11;GUGA DE PAULA;PP/PP / PV / PMDB / PSL / PSD / DEM / PDT / PT do B / PROS / SD / PTB / PSB;8.647;69,08 %
CARAPEBUS;11;CHRISTIANE CORDEIRO;PP/PP / PRTB / PC do B / PSB / PT do B / PROS / PSC / SD / PHS / PSDC / PEN / PSDB;6.201;61,12 %
CARDOSO MOREIRA;11;GILSON NUNES SIQUEIRA;PP/PP / PSDB / PEN / PPS / PR / PTN / PT do B / PSB / PRB / PSD / PSC;4.749;50,29 %
CARMO;40;CESAR LADEIRA;PSB/SD / DEM / PSB / PSD / PRB / PDT / PT / PTB / PR / PPS / PT do B;5.285;45,40 %
CASIMIRO DE ABREU;20;FABINHO KIFFER;PSC/PMDB / PSL / PSC / PPS / DEM / PSDC / PTC / PV / PEN / PSD / SD;8.503;91,85 %
COMENDADOR LEVY GASPARIAN;14;DR. VALTER LAVINAS;PTB/PRB / PDT / PR / PRTB / PV / PSDB / PEN / PSB / PT do B / SD / PTB;3.719;57,80 %
CONCEIÇÃO DE MACABU;45;DR JOSÉ;PSDB/PT / PSL / PSDC / PHS / PSDB / PRB / PPL;4.006;60,82 %
CORDEIRO;23;LUCIANO BATATINHA;PPS/PPS / PSC / PMB / PRB / PC do B / PTB / PHS / PSB / PV / PMDB;5.196;41,86 %
DUAS BARRAS;11;LUIZ CARLOS;PP/PP / PHS / PRB / PT do B / PEN / PR / PSB / PDT / PT;4.644;58,11 %
DUQUE DE CAXIAS;15;* WASHINGTON REIS;PMDB/PMDB / PSL / PPS / PRP / PHS / PSB;149.782;35,76 %
DUQUE DE CAXIAS;19;* DICA;PTN/PTN / PRB / PT / PSC / PMN / PV / PROS / PSD / PC do B / PDT;87.643;20,93 %
ENGENHEIRO PAULO DE FRONTIN;31;JAULDO NETO;PHS/PRB / PT / PRTB / PHS / PSB / PRP / PC do B / PT do B / SD;4.874;83,95 %
GUAPIMIRIM;12;ZELITO TRINGUELE;PDT/PRB / PP / PDT / PTB / PSB / PEN / PT do B;11.968;38,70 %
IGUABA GRANDE;40;HUGO CANELLAS;PSB/PSB / DEM / PRTB / PDT / PROS / PTC / PSDC / PSL / SD / REDE / PTN;4.832;59,01 %
ITABORAÍ;35;DR. SADINOEL;PMB/PMB / PP / SD / PR / PRB;56.317;48,68 %
ITAGUAÍ;40;WESLEI PEREIRA;PSB/PSB / PDT / PHS / PSOL;26.329;63,37 %
ITALVA;11;MARGARETH DO JOELSON;PP/PP / PSL / PDT / PTN / PSDB / PPS / DEM / PT do B / PC do B / PV / PT;3.691;41,26 %
ITAOCARA;15;MANOEL FARIA;PMDB/PTB / PMDB / PSC / PSDC / PSDB / PEN;6.411;55,05 %
ITAPERUNA;22;DR. VINÍCIUS;PR/PR / PHS / PC do B / PMB / PDT / PPS / DEM / PV / PSD / SD / PROS / PEN;37.333;66,99 %
ITATIAIA;15;DUDU;PMDB/PDT / PMDB / PT / PHS / PRTB / SD / PTC / PMB / PROS / PRB / PT do B / PR / PTN / PPL / PPS;8.383;43,26 %
JAPERI;11;CARLOS MORAES;PP/PP / PTB / PTN / PR / PHS / PMB / PSB / PSD / SD;23.863;44,17 %
LAJE DO MURIAÉ;11;DR. RIVELINO;PP/PP / PDT / PT / PTN / PSC / PPS / PSDC / PMB / PV / PROS / PSDB;3.091;49,92 %
MACAÉ;15;DR. ALUÍZIO;PMDB/PMDB / PSDB / PROS / PPS / PRTB;63.397;58,95 %
MACUCO;31;BRUNO BOARETTO;PHS/PHS / PR / PSB / PV / PT do B / PP / PSDB;4.002;89,15 %
MAGÉ;23;RAFAEL TUBARÃO;PPS/PPS / PSDB / PT / PSB / PMN / PP / PHS / PT do B / PSD / PMB / PC do B;81.601;63,97 %
MANGARATIBA;23;AARÃO;PPS/PPS / PDT / PRB / PR / PTC / PTB / PMB / PRP / PROS / PMDB;10.111;38,12 %
MARICÁ;13;FABIANO HORTA;PT/PT / REDE / PTB / PMDB / PTN / PR / PSDC / PHS / PV / PC do B / SD / PMN;39.128;96,12 %
MENDES;11;ROGÉRIO RIENTE;PP/PP / PRB / PRTB;4.600;40,36 %
MESQUITA;45;JORGE MIRANDA;PSDB/PSDB / PROS / PSD / PSC / DEM / PMB / PT do B;46.322;49,91 %
MIGUEL PEREIRA;22;ANDRÉ PORTUGUÊS;PR/PR / PTC / PTB / PT do B / PHS / PRTB / PSD / PRP;7.465;62,95 %
MIRACEMA;11;CLOVINHO TOSTES;PP/PP / PV / PSDB / PR / DEM / PRB / PPS / PSC / PDT / PC do B;7.958;47,75 %
NATIVIDADE;51;SEVERIANO NENEM;PEN/PRTB / PDT / PEN / PP / REDE / PPS / PSB / PT do B / SD / PROS / PTB / PHS;3.517;36,90 %
NILÓPOLIS;14;FARID ABRÃO;PTB/PTB / PSD / PT / PP / PSB / PR / PRTB / PSC / PMB / PTC / DEM / PSDC;60.595;60,10 %
NITERÓI;43;* RODRIGO NEVES;PV/PV / PDT / PC do B / PTN / PRB / PT / PSL / SD / PTB / PMDB / PPS / PP / PRP / PEN / PMB / PRTB / REDE / DEM / PR;109.531;47,98 %
NITERÓI;40;* FELIPE;PSB/PSB / PSDB / PHS / PTC / PT do B / PSDC / PMN / PSD / PROS / PPL / PSC;70.065;30,69 %
NOVA FRIBURGO;11;RENATO BRAVO;PP/PP / PDT / PSDC / PV / PMB;29.046;28,23 %
NOVA IGUAÇU;15;BORNIER;PMDB/PMDB / PTB / PSL / PTN / PSC / DEM / PSDC / PHS / PMN / PTC / PSB / PV / PSD / PROS / PRP / PP / PMB;131.531;61,52 %
PARACAMBI;22;LUCIMAR DO DR. FLÁVIO;PR/PR / PRB / DEM / PSDC / PSDB / PSB;12.686;47,87 %
PARAÍBA DO SUL;15;DR ALESSANDRO;PMDB/PMDB / PMB / PSC / PC do B / PEN / PROS / PRP / PT;7.763;41,76 %
PARATY;15;CASÉ;PMDB/PMDB / PMB / PT do B / PV / DEM / PHS / PTN / PPS / PEN / PMN / PRB;8.403;38,71 %
PATY DO ALFERES;43;JUNINHO BERNARDES;PV/PV / PSL / PSB / PROS / PTN / PEN / PMDB / PMB / PRP / PSD / PTC / PPS;7.737;43,93 %
PETRÓPOLIS;15;* BERNARDO ROSSI;PMDB/PMDB / PSL / PSDC / PV / PMB / PRP / PTC / PHS / PP / PSC / PRTB / DEM / PDT / PTB / PROS / PEN / PSDB;68.420;45,55 %
PETRÓPOLIS;40;* RUBENS BOMTEMPO;PSB/PSB / REDE / PC do B / PR / SD / PSD / PTN / PT do B / PRB;63.402;42,21 %
PINHEIRAL;15;EDNARDO BARBOSA;PMDB/PMDB / PP / PDT / PSC / PV / PEN / PSDC / PPL / PTB / DEM / PSD / PPS;6.689;46,83 %
PIRAÍ;12;DR. LUIZ ANTONIO;PDT/PRB / PDT / PT / PR / PPS / PHS / PSDB / PC do B / PT do B / SD / PMB;9.064;51,11 %
PORCIÚNCULA;11;LÉO COUTINHO;PP/PP / DEM / PR / PEN / SD / PSB / PSC / PSDB / PT do B / PTN / PROS / PTB / PT / PSD;6.507;63,12 %
PORTO REAL;15;JORGE SERFIOTIS;PMDB/PMDB / PDT / PSDC / PSL / PT do B / PPS / PRB / PC do B / PV / DEM / PRTB / PTN / PSDB / PROS / PSC / PSD / PTC / SD / PMB;7.862;54,64 %
QUATIS;15;BRUNO;PMDB/PMDB / PSDB / PSC / PSDC;4.704;57,47 %
QUEIMADOS;15;VILELA;PMDB/PMDB / PSDB / PP / PTB / PSL / PTN / PSC / PPS / DEM / PSDC / PRTB / PHS / PTC / PV / PRP / PEN / PPL / PC do B / PT do B / PROS / SD / PMN;43.934;54,46 %
QUISSAMÃ;19;FÁTIMA;PTN/PTN / PMDB / PRB / PHS / PSDC / PMB / PEN / PT / PTC / PROS / PPL;6.679;46,03 %
RESENDE;55;DR DIOGO BALIEIRO DINIZ;PSD/PSD / DEM / PR / PSDC / PPL / PRP / PT do B;25.888;38,13 %
RIO BONITO;70;MARCOS ABRAHÃO;PT do B/PT do B / PSL;11.485;56,44 %
RIO CLARO;22;PROFESSOR JOSÉ OSMAR;PR/PP / PR / PDT / PPL / PROS;6.664;54,64 %
RIO DAS FLORES;23;VICENTE GUEDES;PPS/PRB / PP / PTB / PMDB / PPS / PRTB / PEN / PSD / SD;4.837;67,36 %
RIO DAS OSTRAS;44;DEUCIMAR;PRP/PC do B / PT do B / PRP;10.503;56,94 %
RIO DE JANEIRO;10;* CRIVELLA;PRB/PRB / PTN / PR;842.201;27,78 %
RIO DE JANEIRO;50;* MARCELO FREIXO;PSOL/PSOL / PCB;553.424;18,26 %
SANTA MARIA MADALENA;25;BETO VERBICÁRIO;DEM/PP / PT / DEM / PROS / PSDB / PPS / PMDB;2.986;43,55 %
SANTO ANTÔNIO DE PÁDUA;40;JOSIAS QUINTAL;PSB/PSB / SD / DEM / PV / PMB / PPS / PSD / PROS / PR / PTN;9.367;37,23 %
SÃO FIDÉLIS;22;AMARILDO DO HOSPITAL;PR/PRB / PSC / PPS / PMB / PSD / SD / PSL / PRP / PC do B / PHS / PR / PSDB / PPL;10.691;48,40 %
SÃO FRANCISCO DE ITABAPOANA;40;FRANCIMARA;PSB/DEM / REDE / PROS / PSB;12.912;46,32 %
