Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
ACEGUÁ;45;DR. GERALDO;PSDB/PSDB;1.594;49,35 %
ÁGUA SANTA;15;JACIR MIORANDO;PMDB/PMDB / PT / PDT;1.611;59,76 %
AGUDO;15;VALERIO;PMDB/PMDB / PDT / PT;6.241;57,15 %
AJURICABA;15;IVAN CHAGAS;PMDB/PMDB / PDT / PP;2.177;42,00 %
ALECRIM;15;LEONEL COLOSSI;PMDB/PMDB;3.462;72,76 %
ALEGRETE;11;CLENI PAZ;PP/PP / PMDB / PSDB / DEM / PSB / PRB / PSD / SD;22.073;52,30 %
ALEGRIA;11;GUSTAVO BIGOLIN;PP/PP;1.509;51,10 %
ALMIRANTE TAMANDARÉ DO SUL;12;VALDECI GOMES;PDT/PDT / PP / PMDB / PT;1.297;100,00 %
ALPESTRE;15;ALFREDO DE MOURA E SILVA;PMDB/PMDB / PT / PTB;2.579;46,19 %
ALTO ALEGRE;12;TONELLO;PDT/PDT / PT / PTB;848;52,15 %
ALTO FELIZ;14;PAULINHO - PAULO MERTINS;PTB/PTB / PDT / PT / PSDB;1.350;56,99 %
ALVORADA;15;APPOLO;PMDB/PMDB / PDT / PSB;31.414;38,94 %
AMARAL FERRADOR;12;NATO;PDT/PDT / PTB / PT;2.418;58,34 %
AMETISTA DO SUL;12;GILMAR DA SILVA;PDT/PDT / PSDB;2.667;58,16 %
ANDRÉ DA ROCHA;14;SERGIO CARLOS MORETTI;PTB/PP / PTB;612;52,04 %
ANTA GORDA;12;CELSINHO;PDT/PP / PDT / PT / PTB / PMDB;3.330;100,00 %
ANTÔNIO PRADO;15;JUAREZ SANTINON;PMDB/PMDB / PSDB / PDT;4.624;49,08 %
ARAMBARÉ;15;ALAOR;PMDB/PMDB / PSDB;1.587;54,05 %
ARARICÁ;11;FLAVIO FOSS;PP/PP / PROS / PDT / REDE;2.426;57,19 %
ARATIBA;13;GRANZOTTO;PT/PT / PSD / PPS;2.800;49,26 %
ARROIO DO MEIO;15;KLAUS WERNER SCHNACK;PMDB/PMDB / PT / DEM / PT do B / PTB;7.247;53,20 %
ARROIO DO PADRE;25;LEONIR BASCHI;DEM/DEM / PTB / PSDB / PDT;1.267;52,20 %
ARROIO DO SAL;15;BOLÃO;PMDB/PMDB / PV / PPS / DEM / PSDB;3.126;53,23 %
ARROIO DOS RATOS;40;PROF. LUCIANO ROCHA;PSB/PSB;3.591;43,57 %
ARROIO DO TIGRE;11;MARCIANO RAVANELLO;PP/PP / PDT;5.730;61,92 %
ARROIO GRANDE;11;HENRIQUE;PP/PP / PSB / PTB;5.919;45,14 %
ARVOREZINHA;45;LUIZINHO;PSDB/PP / PTB / PMDB / PSB / PV / PSDB / PSD / PC do B;3.641;100,00 %
AUGUSTO PESTANA;11;VILMAR ZIMMERMANN;PP/PP / PDT / PT / PSD;3.063;57,65 %
ÁUREA;11;JORGE;PP/PP / PDT / PRB / PMDB;1.513;55,50 %
BAGÉ;14;DIVALDO LARA;PTB/PTB / PSDB / PMDB / PP / REDE / PSB / DEM / PSC / PV / PPS / PRB / PSD / SD;45.948;75,04 %
BALNEÁRIO PINHAL;14;MARCIA TEDESCO;PTB/PDT / PT / PTB / PSB / PV / PSDB / PSD;3.999;60,77 %
BARÃO;12;CLÁUDIO FERRARI;PDT/PMDB / PDT / PT;2.209;51,08 %
BARÃO DE COTEGIPE;11;VLADIMIR FARINA;PP/PP / PDT / PTB / PSDB;2.845;57,59 %
BARÃO DO TRIUNFO;15;ELOMAR;PMDB/PMDB / PTB / PSB / PSD;2.650;60,42 %
BARRACÃO;15;DILE;PMDB/PMDB / DEM;2.093;55,05 %
BARRA DO GUARITA;13;RODRIGO;PT/PT / PSB;1.419;56,26 %
BARRA DO QUARAÍ;40;IAD CHOLI;PSB/PSB / PTB / PT / PP / PDT;1.319;56,76 %
BARRA DO RIBEIRO;15;JAIR MIRIM;PMDB/PMDB / PSDB / PRB / PSB / PDT;3.752;49,06 %
BARRA DO RIO AZUL;14;MARCELO;PTB/PMDB / PP / PTB / PSB / PDT / PT / PRB;1.277;100,00 %
BARRA FUNDA;11;MARCOS ANDRE PIAIA;PP/PP / PDT / PT;2.002;100,00 %
BARROS CASSAL;12;JARBAS CAGLIERO;PDT/PP / PSD / PSDB / PR / PDT / PTB / PC do B;3.412;100,00 %
BENJAMIN CONSTANT DO SUL;13;ITACIR HOCHMANN;PT/PP / PDT / PT / PTB / PMDB / PPS;1.255;71,06 %
BENTO GONÇALVES;11;GUILHERME PASIN;PP/PP / PSDB / PSD / PRB / REDE / PPS / PR / DEM / PTB;44.129;65,62 %
BOA VISTA DAS MISSÕES;40;CARLOS.;PSB/PMDB / PT / PSB / PSDB / PPS;1.059;61,82 %
BOA VISTA DO BURICÁ;65;VILI;PC do B/PDT / PT / PTB / PC do B / PSD;2.527;52,90 %
BOA VISTA DO CADEADO;12;FÁBIO;PDT/PDT / PMDB;1.010;55,89 %
BOA VISTA DO INCRA;11;CLEBER;PP/PP / PT;1.028;53,02 %
BOA VISTA DO SUL;15;ALOISIO RISSI;PMDB/PMDB / PTB / PDT;1.180;51,22 %
BOM JESUS;11;LICO;PP/PDT / PP / PRB / PT / PSDB;3.959;55,36 %
BOM PRINCÍPIO;45;FÁBIO PERSCH;PSDB/PSDB / PTB / PPS / PC do B;4.370;50,66 %
BOM PROGRESSO;11;ARMINDÃO;PP/PP / PDT / PTB / PSDB;986;51,01 %
BOM RETIRO DO SUL;23;EDMILSON BUSATTO;PPS/PPS / PSB / PT / PMDB;4.786;58,52 %
BOQUEIRÃO DO LEÃO;15;PAULO JOEL;PMDB/PMDB / PT / PSDB;2.607;52,65 %
BOSSOROCA;11;JUCA;PP/PP;1.987;48,01 %
BOZANO;11;ERNESTO NATAL NICOLETTI;PP/PP;1.115;50,61 %
BRAGA;12;NEI DO PATA;PDT/PDT / PT / PMDB;1.509;57,49 %
BROCHIER;11;CLAURO;PP/PP / PDT;2.136;63,50 %
BUTIÁ;11;FERNANDO LOPES;PP/PP / PTB / PSDB / REDE;4.068;52,53 %
CAÇAPAVA DO SUL;12;GIOVANI AMESTOY;PDT/PDT / PTB / PSDB / PPL;7.793;39,25 %
CACEQUI;14;FRANCO FONSECA;PTB/PRB / PTB;4.556;60,03 %
CACHOEIRA DO SUL;12;SÉRGIO GHIGNATTI;PDT/PDT / PSD / REDE / PTB / PC do B;17.728;37,95 %
CACHOEIRINHA;40;MIKI BREIER;PSB/PSB / PMDB / PR / SD / PTB / PSDB / PV / PPS / PRB / PSC / PSD / PDT / PP / PEN / PMN;34.369;57,77 %
CACIQUE DOBLE;25;CHIQUINHO;DEM/DEM / PDT;1.774;51,15 %
CAIBATÉ;11;AMAURI PIRES DA SILVA;PP/PP / PT;1.461;40,52 %
CAIÇARA;12;MARCIO;PDT/PDT / PT;1.624;43,24 %
CAMAQUÃ;45;IVO FERREIRA;PSDB/PSC / PSDB;13.274;34,46 %
CAMARGO;11;NINA;PP/PP / PT / PPS / PSDB;1.097;51,70 %
