Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
ALTO ALEGRE;55;PEDRO HENRIQUE MACHADO;PSD/PMDB / PTN / PSDC / PTC / SD / PSDB / PSD;4.616;55,84 %
AMAJARI;20;VERA LÚCIA;PSC/PSC / PRB / PT do B / PEN;1.711;45,15 %
BOA VISTA;15;TERESA;PMDB/PMDB / PSB / PR / SD / PPS / PSDC / PT do B / PSL / PPL / PSD;121.148;79,39 %
BONFIM;28;JONER CHAGAS;PRTB/PP / PRTB / PHS / PR / SD / PSL / PSDC / PT / PC do B / PT do B / PDT;2.726;43,05 %
CANTÁ;17;CARLOS BARBUDO;PSL/PSB / PSL / PV / PSDB;1.918;20,19 %
CARACARAÍ;90;SOCORRO GUERRA;PROS/PRP / PROS / PSDB / PT do B / SD;3.643;33,98 %
CAROEBE;45;ARGILSON;PSDB/PDT / PSL / PHS / SD / PSDB;2.295;45,89 %
IRACEMA;51;DR. FRANCISCO ARAÚJO;PEN/PEN / PSC / PC do B / PDT / PP / PTN / PRP;1.945;100,00 %
MUCAJAÍ;22;NEGA;PR/PRB / PR / PTN / PV / PMDB / PROS / PT / PSB / PRP / PHS;4.746;48,87 %
NORMANDIA;12;GUTE BRASIL;PDT/PDT / PSC / PSL / PHS / PTC / PC do B;2.356;43,32 %
PACARAIMA;10;JULIANO TORQUATO;PRB/PRB / PT / PR / PRP / PMB / PSL / PHS;2.671;38,51 %
RORAINÓPOLIS;55;LEANDRO;PSD/PSD / PMDB / PMB / PPL / PSB / PROS / PT do B / SD;4.189;30,19 %
SÃO JOÃO DA BALIZA;90;MARCELO JORGE;PROS/PSDC / PHS / PSDB / PSD / SD / PROS;1.283;32,04 %
SÃO LUIZ;15;JAMES BATISTA;PMDB/PMDB / PPL / SD / PPS / PRP / PHS;1.652;38,31 %
UIRAMUTÃ;11;DEDEL;PP/PP / PHS / PPS / PSC / PSB / PV / PSDC;1.480;48,75 %
