Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
ADAMANTINA;25;MÁRCIO CARDIM;DEM/DEM / PPS / PSD;15.231;81,47 %
ADOLFO;45;CHEM;PSDB/PSDB / PTB / PT / SD;2.171;60,80 %
AGUAÍ;45;ALEXANDRE ARAÚJO - NÊ;PSDB/PSDB / PSD / PV / PSB / PRB / PEN / REDE / PHS / PP / PMDB / PTB;13.343;76,91 %
ÁGUAS DA PRATA;25;CARLOS HENRIQUE;DEM/DEM / PSD;2.138;46,94 %
ÁGUAS DE LINDÓIA;12;GIL HELOU;PDT/PDT / PSDB / PSD / PTB / PSB / PMDB / PSC / PRB / PV;4.992;47,03 %
ÁGUAS DE SANTA BÁRBARA;10;AROLDO;PRB/PRB / PTB / PMDB / DEM / PHS;1.974;51,10 %
ÁGUAS DE SÃO PEDRO;45;PAULO BARBOZA;PSDB/PTN / PR / PPS / PSDB / SD;1.290;44,54 %
AGUDOS;10;ALTAIR DA SAÚDE;PRB/PRB / PR / DEM / PSD / PRP / PV / PDT / PSB;15.380;100,00 %
ALAMBARI;45;HUDSON;PSDB/PMDB / PPS / PSDB;1.959;51,23 %
ALFREDO MARCONDES;55;EDMILSON DO JÓ;PSD/PSD / PTB / SD;1.664;51,52 %
ALTAIR;22;DR. ANTONIO;PR/PR / PMDB / PSDB / PRB / PP / PEN / PV / PTN;1.561;58,64 %
ALTINÓPOLIS;55;ROBERTO JRM;PSD/PSD / PTB / PEN / PR / PP / PRB / PROS / PPS;6.324;65,00 %
ALTO ALEGRE;43;HELENA BERTO;PV/PMDB / PV / PSDB;2.010;100,00 %
ALUMÍNIO;23;ANTONIO PIASSENTINI BIMBÃO;PPS/PPS / SD / PP / PDT / PSC / PRP / PSB;5.662;48,42 %
ÁLVARES FLORENCE;15;CALIMÉRIO;PMDB/PMDB / PSDB / PSD / PPS / PT;1.946;52,84 %
ÁLVARES MACHADO;43;FRANCIS;PV/PT / PV;5.225;77,41 %
ÁLVARO DE CARVALHO;11;CÍCERO MARTINS;PP/PP / PR / DEM / PSB / PEN;1.337;66,52 %
ALVINLÂNDIA;11;ABIGAIL;PP/PP / PMDB / PSB / PV / PSDB;1.305;64,32 %
AMERICANA;15;OMAR NAJAR;PMDB/PMDB / PSDB / PV / PRP / PR / PPS / PEN / DEM / PSC / PSB / PHS;84.879;72,71 %
