Município;Núm.;Nome;Partido/Coligação;Votação;% Válidos
AMPARO DE SÃO FRANCISCO;22;FRANKLIN FREIRE;PR/PR / PTB / PP / PT / PTN / PHS / PTC / PEN / PSD / PC do B / PSC;1.497;64,14 %
AQUIDABÃ;10;DR MARIO;PRB/SD / PRB / PSD / PPS / PT / PROS / PSC / PTC / PSB / PSDB / PEN;8.853;73,19 %
ARACAJU;65;* EDVALDO NOGUEIRA;PC do B/PC do B / PT / PSD / PRP / PMDB / PT do B / PTN / PRB;99.815;38,76 %
ARACAJU;40;* VALADARES FILHO;PSB/PSB / PP / PSC / PSL / PTB / PRTB / PMB / PR / PTC / PROS / PDT / PSDC / PPL / SD;98.071;38,09 %
ARAUÁ;40;RANULFO;PSB/PP / PSC / DEM / PSB / PEN / PPL / PC do B / PROS;4.116;54,99 %
AREIA BRANCA;20;ALAN DE AGRIPINO;PSC/PP / PSC / PTC / PRP / PSDB / PC do B;4.473;41,62 %
BARRA DOS COQUEIROS;15;AIRTON MARTINS;PMDB/PMDB / PRB / PSB / PDT / PSC / PSDC / PMN / PC do B / PROS / PSD;10.293;67,55 %
BOQUIM;77;ERALDO DE CABEÇA DANTAS;SD/PT / PP / PSC / PV / PSDB / SD / PROS;9.612;58,23 %
BREJO GRANDE;40;CLYSMER;PSB/PSB / PPS / PRP / PTN / PT / PEN / PSDC;2.281;42,64 %
CAMPO DO BRITO;45;MARCELL SOUZA;PSDB/PRB / PT / PSL / PSC / PPS / PSDB / PSD;6.407;57,71 %
CANHOBA;55;MANOEL ARROZ;PSD/PP / PMDB / PPS / DEM / PSDC / PSDB / PEN / PSD;1.797;49,85 %
CANINDÉ DE SÃO FRANCISCO;55;ORLANDINHO;PSD/PRB / PP / PDT / PTB / PMDB / PR / PTC / PV / PRP / PSDB / PEN / PSD / PC do B / SD;12.796;71,29 %
CAPELA;19;SILVANY SUKITA;PTN/PT / PMDB / PTN / PPS / PRP / PC do B;9.929;51,53 %
CARIRA;20;NEGÃO;PSC/PSC / PP / PR / PTC / PSDB / PTB;6.509;48,89 %
CARMÓPOLIS;25;VOLNEY LEITE;DEM/PP / PSC / PR / DEM / PRTB / PTC / PSDB / PEN / PT do B / SD;6.088;56,71 %
CEDRO DE SÃO JOÃO;25;NEUDO ALVES;DEM/DEM / PSD / PV;2.629;60,41 %
CRISTINÁPOLIS;12;DU DE JUCA;PDT/PDT / PSD / PSDB / PR / PT / PSB / SD / PTC / PC do B / PTN / PMB / PV;5.958;59,32 %
CUMBE;55;MARCELO MORAES;PSD/PSD / PMDB / PTN;1.778;52,56 %
DIVINA PASTORA;77;DR. SYLVIO;SD/SD / PMDB / PPS / PT / PSD / PP;1.430;45,04 %
ESTÂNCIA;36;DR. GILSON ANDRADE;PTC/PTC / PRB / PP / PPS / PMN / PSC / PSL / PSD / PR / PSDB / PTB / PV / PRP / SD / REDE / PC do B / PMB / PDT;14.405;40,79 %
FEIRA NOVA;45;PAINHO;PSDB/PSDB / PDT / PSB / PSD / PSL / PROS / PRP / SD / PHS;2.612;55,53 %
FREI PAULO;15;ANDERSON DE ZÉ DAS CANAS;PMDB/PMDB / PT / PDT / PSL / PRB;5.083;50,26 %
GARARU;20;ELIZABETH;PSC/PSC / PTB / PTC / PMN / PSDB / PR / PPL / SD;3.495;49,52 %
GENERAL MAYNARD;55;VALMIR;PSD/PSD / PDT / PC do B / PPS / PT;832;37,19 %
GRACCHO CARDOSO;40;CASSINHO DE QUIXABEIRA;PSB/PSB / PTC / PT / DEM;2.384;51,07 %
ILHA DAS FLORES;20;CRISTIANO BELTRÃO;PSC/PRB / PT / PSC / PR / PSDB / SD;3.253;55,04 %
INDIAROBA;15;ADINALDO;PMDB/PRB / PDT / PMDB / PMN / PEN / PC do B / PRP / PSDC;5.959;64,23 %
ITABAIANA;22;VALMIR DE FRANCISQUINHO;PR/PR / PP / PSB / PSC / PSDB / PTN / PSL / DEM / PTB / PRP / PPS / PTC / PV / PROS / PMN / SD / PEN / PRB;35.559;65,83 %
ITABAIANINHA;15;DANILO DE JOALDO;PMDB/PRB / PP / PDT / PT / PMDB / PTN / PPS / PHS / PMN / PSDB;8.465;37,63 %
ITABI;55;MANÉ DO POVO;PSD/PP / PDT / PT / PMDB / PTN / PSB / PV / PSD;1.852;50,08 %
ITAPORANGA D'AJUDA;45;OTAVIO SOBRAL;PSDB/PSDB / PROS / DEM / PR / PSC / SD / PP / PTC / PC do B / PSDC / PDT / PMN / PV / PPL / PTN / PSL;10.800;54,76 %
JAPARATUBA;19;SUKITA;PTN/PRB / PTN / PRP / PSD;3.218;50,09 %
JAPOATÃ;19;MAGNO;PTN/PRB / PTN / PHS;3.895;48,69 %
LAGARTO;20;JOSE VALMIR MONTEIRO;PSC/PDT / PSC / PTB / PTN / PSL / PR / PSDC / PRTB / PRP / PT do B / PT / PSDB / PMB / PTC / PSB;32.966;59,24 %
LARANJEIRAS;25;PAULINHO DA VARZINHAS;DEM/DEM / PSDB / PR / PSC / PMB / PPS / PRB / PT do B / PT;8.396;50,18 %
MACAMBIRA;13;LUCIANO DE VITAL;PT/PP / PDT / PT / PMDB / PMN / PC do B;2.743;52,18 %
MALHADA DOS BOIS;20;CÉSAR DE MALHADA;PSC/PSC / DEM / PSB / PV / PSDB;1.858;57,61 %
MALHADOR;40;ELAYNE DE DEDÉ;PSB/PP / PMDB / PSC / PTC / PSB / PEN / PSD / PROS;3.805;50,20 %
MARUIM;15;JEFERSON SANTANA;PMDB/PP / PDT / PT / PMDB / PPS / PSC / PTC / PSB / PEN / PSD / PT do B / PROS / PRB;4.945;51,63 %
MOITA BONITA;15;MARCOS COSTA;PMDB/PMDB / PROS / PDT / PSB / PTB;3.823;51,33 %
MONTE ALEGRE DE SERGIPE;10;NENA DE LUCIANO;PRB/PRB / PT / PSB / PMN / PMDB;4.504;49,45 %
MURIBECA;45;FERNANDINHO FRANCO;PSDB/PSDB / DEM / PSB / PMDB;3.112;55,06 %
NEÓPOLIS;22;DR. LUIZINHO;PR/PR / PPS / PTC / PV;5.907;54,45 %
NOSSA SENHORA APARECIDA;15;VERA;PMDB/PMDB / PT / PSC / PSL;2.991;51,65 %
NOSSA SENHORA DA GLÓRIA;13;CHICO;PT/PT / PR / PTB / PSD / PTC / PSDB / PC do B / SD / PSDC / PDT / DEM;13.002;63,87 %
NOSSA SENHORA DAS DORES;15;DR. THIAGO;PMDB/PMDB / PSB / PT / PDT / PEN / PSD / PC do B / PP;8.808;56,67 %
NOSSA SENHORA DE LOURDES;55;FÁBIO ANDRADE;PSD/DEM / PDT / PMB / PTC / PSD / PTN;2.479;51,78 %
NOSSA SENHORA DO SOCORRO;65;PADRE INALDO;PC do B/PRB / REDE / PTN / PRP / PSD / PC do B / PT do B / PROS / PMDB;35.190;73,12 %
PACATUBA;20;ALEXANDRE MARTINS;PSC/PSC / PSDB / PSD / PSB / PSL;5.380;60,32 %
PEDRA MOLE;25;NETO DE MILTON;DEM/DEM / PSB / PP / PT do B / PEN;1.346;50,36 %
PEDRINHAS;12;MARA DA FARMACIA;PDT/PDT / PSDC / PTC / PPL / PC do B / PPS;2.978;50,34 %
PINHÃO;15;ANA ROSA;PMDB/PMDB / PDT / PSC / PHS / PTC / PSDB / PROS;2.409;54,09 %
PIRAMBU;15;DR. NILTON;PMDB/PMDB / PROS;2.858;98,11 %
POÇO REDONDO;10;DR. JUNIOR CHAGAS;PRB/PRB / SD / PP / PR / PSDB / PMN / PSC;6.640;42,77 %
POÇO VERDE;20;IGGOR OLIVEIRA;PSC/PTB / PSC / PR / PPS / DEM / PSDC / PHS / PMN / PTC / PRP / PSDB / PSD / PT do B / PROS;8.206;57,03 %
PORTO DA FOLHA;22;MIGUEL DE DR MARCOS;PR/PR / PROS;7.522;43,29 %
PROPRIÁ;40;IOKANAAN SANTANA;PSB/PSDC / PSB / PPS;7.878;50,35 %
RIACHÃO DO DANTAS;70;GERANA COSTA;PT do B/PT do B / PSB / PSC / PR / PSDB / SD;6.755;51,47 %
RIACHUELO;15;CANDIDA LEITE;PMDB/PMDB / PSB / PDT / PT / PV / PEN / PSD / PRP;3.599;56,75 %
RIBEIRÓPOLIS;25;ANTONIO PASSOS;DEM/PTC / DEM;5.661;51,05 %
ROSÁRIO DO CATETE;25;VINO BARRETO;DEM/PRB / DEM / PHS;3.652;54,18 %
SALGADO;40;DUILIO;PSB/PP / PDT / PT / REDE / PPS / PMN / PSB / PRP / PSD / PC do B;6.017;48,67 %
SANTA LUZIA DO ITANHY;15;EDSON CRUZ;PMDB/PDT / PMDB / PSC / DEM / PV / PRP / PT do B / PROS / SD;4.373;52,38 %
SANTANA DO SÃO FRANCISCO;20;JUNIOR BARROZO;PSC/PP / PSC / PC do B / DEM / PTN / PSDB;2.145;46,17 %
SANTA ROSA DE LIMA;55;JUNIOR MACARRÃO;PSD/PSD / PMN / PRB / PDT / PEN / PMDB / PTN / PP / DEM / PR / PSDB;2.087;64,47 %
